t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,s1,s2,s3,s4,tau1,tau2,tau3,tau4,sat1,sat2,sat3,sat4,a1_hat,a2_hat,a3_hat,a4_hat,fv1_hat,fv2_hat,fv3_hat,fv4_hat,fc1_hat,fc2_hat,fc3_hat,fc4_hat
0.000000,-0.000000,-0.491647,0.337865,0.504568,-0.000000,-3.721646,4.800000,-4.800000,0.000000,-0.550000,0.100000,0.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,-3.429882,5.989325,-4.768027,-0.000207,1.200000,-1.200000,0.346999,0,1,1,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.010000,-0.000000,-0.489802,0.300747,0.592442,0.000000,2.822001,-4.800000,4.800000,0.000000,-0.550000,0.100000,0.500000,0.000003,0.000002,0.000002,0.000003,-0.000003,3.122989,-3.796265,5.447095,0.000163,-1.200000,1.200000,-0.674591,0,1,1,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.020000,-0.000000,-0.489802,0.300747,0.592442,0.000000,2.822001,-4.800000,4.800000,0.000000,-0.550000,0.100000,0.500000,0.000026,0.000016,0.000015,0.000021,-0.000027,3.122975,-3.796279,5.447076,0.000185,-1.200000,1.200000,-0.674574,0,1,1,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.030000,-0.000000,-0.442866,0.265004,0.596941,-0.000000,-0.206240,3.418722,-4.800000,0.000001,-0.550000,0.100000,0.500001,0.000087,0.000052,0.000051,0.000069,-0.000090,0.329377,4.243691,-4.121485,0.000069,-0.719098,-1.200000,0.267484,0,0,1,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.040000,-0.000000,-0.442866,0.265004,0.596941,-0.000000,-0.206240,3.418722,-4.800000,0.000002,-0.549999,0.100001,0.500002,0.000203,0.000122,0.000119,0.000161,-0.000214,0.329303,4.243618,-4.121586,0.000141,-0.718892,-1.200000,0.267545,0,0,1,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.050000,-0.000000,-0.460904,0.321134,0.585190,0.000000,-0.286827,-0.037245,4.800000,0.000005,-0.549997,0.100003,0.500004,0.000393,0.000236,0.000231,0.000312,-0.000418,0.158402,1.068178,5.395992,0.000204,-0.505706,-1.200000,-0.705701,0,0,1,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.060000,-0.000000,-0.462178,0.315812,0.633190,0.000000,-0.000000,-0.936468,4.800000,0.000010,-0.549994,0.100006,0.500008,0.000673,0.000403,0.000395,0.000533,-0.000724,0.438674,0.142166,5.731741,0.000363,-0.770843,-0.646613,-0.728669,0,0,0,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.070000,-0.000000,-0.462178,0.315812,0.633190,0.000000,-0.000000,-0.936468,4.800000,0.000019,-0.549989,0.100011,0.500015,0.001057,0.000634,0.000621,0.000838,-0.001151,0.438418,0.141915,5.731389,0.000540,-0.773004,-0.650788,-0.828461,0,0,0,0,1.000000,0.999940,1.000115,1.003169,0.036700,0.003849,0.003067,0.111810,0.014600,0.082976,0.114293,0.040892
0.080000,-0.000000,-0.465252,0.332156,0.568241,0.000000,-0.228574,0.915360,-4.800000,0.000032,-0.549981,0.100019,0.500025,0.001562,0.000936,0.000918,0.001238,-0.001721,0.194137,2.075126,-4.323728,0.000803,-0.511317,-1.200000,0.255901,0,0,1,0,1.000000,0.999880,1.000231,1.006336,0.036700,0.007685,0.006122,0.150000,0.014600,0.082939,0.114281,0.040253
0.090000,-0.000000,-0.468462,0.340429,0.520241,0.000000,-0.396004,0.755731,-4.800000,0.000050,-0.549970,0.100030,0.500040,0.002202,0.001319,0.001294,0.001743,-0.002454,0.010216,1.956436,-4.660337,0.001076,-0.307945,-1.200000,0.342424,0,0,1,0,1.000000,0.999880,1.000231,1.006336,0.036700,0.007685,0.006122,0.150000,0.014600,0.082939,0.114281,0.040253
0.100000,-0.000000,-0.464670,0.313111,0.554353,0.000000,0.639412,-3.669636,4.800000,0.000076,-0.549954,0.100045,0.500060,0.002989,0.001790,0.001756,0.002365,-0.003370,1.064044,-2.606061,5.177683,0.001437,-1.200000,1.200000,-0.696095,0,1,1,0,1.000000,0.999880,1.000231,1.006336,0.036700,0.007685,0.006122,0.150000,0.014600,0.082939,0.114281,0.040253
0.110000,-0.000000,-0.454558,0.269642,0.602353,0.000000,1.259104,-4.800000,4.800000,0.000111,-0.549934,0.100065,0.500088,0.003937,0.002356,0.002312,0.003113,-0.004491,1.733629,-3.954429,5.512745,0.001875,-1.200000,1.200000,-0.769610,0,1,1,0,1.000000,0.999880,1.000231,1.006336,0.036700,0.007685,0.006122,0.150000,0.014600,0.082939,0.114281,0.040253
0.120000,-0.000000,-0.466838,0.280665,0.558694,-0.000000,-2.611113,3.216888,-4.800000,0.000156,-0.549907,0.100091,0.500123,0.005057,0.003025,0.002970,0.003995,-0.005835,-2.198795,4.116786,-4.393997,0.002057,1.200000,-1.200000,0.263018,0,1,1,0,1.000000,0.999880,1.000231,1.006336,0.036700,0.007685,0.006122,0.150000,0.014600,0.082939,0.114281,0.040253
0.130000,-0.000000,-0.504099,0.326486,0.510694,0.000000,-4.149948,4.800000,-4.800000,0.000213,-0.549873,0.100125,0.500168,0.006361,0.003804,0.003735,0.005021,-0.007424,-3.924881,5.928070,-4.731338,0.002387,1.200000,-1.200000,0.337856,0,1,1,0,1.000000,0.999880,1.000231,1.006336,0.036700,0.007685,0.006122,0.150000,0.014600,0.082939,0.114281,0.040253
0.140000,-0.000000,-0.522281,0.324335,0.550052,0.000000,-0.376087,-1.958122,4.800000,0.000283,-0.549830,0.100166,0.500224,0.007859,0.004697,0.004614,0.006198,-0.009276,-0.243037,-0.841893,5.142597,0.003180,-0.023648,0.185604,-0.703241,0,0,0,0,1.000000,0.999880,1.000231,1.006336,0.036700,0.007685,0.006122,0.150000,0.014600,0.082939,0.114281,0.040253
