t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,s1,s2,s3,s4,tau1,tau2,tau3,tau4,sat1,sat2,sat3,sat4,a1_hat,a2_hat,a3_hat,a4_hat,fv1_hat,fv2_hat,fv3_hat,fv4_hat,fc1_hat,fc2_hat,fc3_hat,fc4_hat
0.000000,-0.000000,-0.543483,0.300361,0.547999,-0.000000,-2.286455,4.800000,-3.270462,0.000000,-0.550000,0.100000,0.500000,0.000000,0.000000,0.000000,0.000000,-0.000000,-2.253873,5.801806,-2.934467,-0.000122,1.200000,-1.200000,0.134551,0,1,1,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.010000,-0.000000,-0.555725,0.312045,0.589057,0.000000,-0.753239,0.152548,4.800000,0.000000,-0.550000,0.100000,0.500000,0.000003,0.000002,0.000002,0.000003,-0.000003,-0.781866,1.212770,5.423399,-0.000065,0.501632,-1.200000,-0.711871,0,0,1,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.020000,-0.000000,-0.547486,0.297181,0.637057,0.000000,2.078354,-2.803093,4.800000,0.000000,-0.550000,0.100000,0.500000,0.000026,0.000016,0.000015,0.000021,-0.000027,2.090908,-1.817204,5.759380,0.000122,-1.200000,0.929496,-0.728248,0,1,0,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.030000,-0.000000,-0.522834,0.280884,0.622053,0.000000,2.952798,-1.371371,-4.800000,0.000001,-0.550000,0.100000,0.500001,0.000087,0.000052,0.000051,0.000069,-0.000090,3.088574,-0.467003,-3.945700,0.000270,-1.200000,-0.088220,0.287382,0,1,0,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.040000,-0.000000,-0.510211,0.290032,0.574053,-0.000000,-0.043275,2.680029,-4.800000,0.000002,-0.549999,0.100001,0.500002,0.000203,0.000122,0.000119,0.000161,-0.000214,0.155542,3.630063,-4.281800,0.000154,-0.498188,-1.200000,0.290957,0,0,1,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.050000,-0.000000,-0.510211,0.290032,0.574053,-0.000000,-0.043275,2.680029,-4.800000,0.000005,-0.549997,0.100003,0.500004,0.000393,0.000236,0.000231,0.000312,-0.000418,0.155420,3.629943,-4.281967,0.000253,-0.497883,-1.200000,0.291048,0,0,1,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.060000,-0.000000,-0.514271,0.303994,0.584466,-0.000000,-0.784567,0.720829,4.807773,0.000010,-0.549994,0.100006,0.500008,0.000673,0.000403,0.000395,0.000533,-0.000724,-0.606355,1.740372,5.398445,0.000290,0.292114,-1.200000,-0.715312,0,0,1,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.070000,-0.000000,-0.518003,0.303310,0.632466,0.000000,-0.098068,-0.608820,4.800000,0.000019,-0.549989,0.100011,0.500015,0.001057,0.000634,0.000621,0.000838,-0.001151,0.061225,0.407055,5.726320,0.000504,-0.367593,-0.868941,-0.735379,0,0,0,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.080000,-0.000000,-0.514618,0.305975,0.623438,0.000000,0.809465,0.479873,-4.308696,0.000032,-0.549981,0.100019,0.500025,0.001562,0.000936,0.000918,0.001238,-0.001721,0.985345,1.508735,-3.446040,0.000837,-1.200000,-1.200000,0.136579,0,1,1,0,1.000000,0.999990,1.000124,1.003288,0.036700,0.000195,0.008270,0.111088,0.014600,0.082995,0.114266,0.040660
0.090000,-0.000000,-0.504917,0.308004,0.575438,0.000000,1.087631,-0.081723,-4.800000,0.000050,-0.549970,0.100030,0.500040,0.002202,0.001319,0.001294,0.001743,-0.002454,1.311578,0.956854,-4.273954,0.001146,-1.200000,-1.200000,0.264072,0,1,1,0,1.000000,0.999990,1.000124,1.003288,0.036700,0.000195,0.008270,0.111088,0.014600,0.082995,0.114266,0.040660
0.100000,-0.000000,-0.492012,0.279333,0.601534,0.000000,1.163278,-3.738715,4.800000,0.000076,-0.549954,0.100045,0.500060,0.002989,0.001790,0.001756,0.002365,-0.003370,1.451198,-2.844030,5.507947,0.001426,-1.200000,1.200000,-0.756095,0,1,1,0,1.000000,0.999990,1.000124,1.003288,0.036700,0.000195,0.008270,0.111088,0.014600,0.082995,0.114266,0.040660
0.110000,-0.000000,-0.483804,0.240924,0.649534,0.000000,0.548786,-3.931148,4.800000,0.000111,-0.549934,0.100065,0.500088,0.003937,0.002356,0.002312,0.003113,-0.004491,0.877078,-3.229166,5.843008,0.001755,-1.145956,1.200000,-0.818248,0,0,1,0,1.000000,0.999990,1.000124,1.003288,0.036700,0.000195,0.008270,0.111088,0.014600,0.082995,0.114266,0.040660
0.120000,-0.000000,-0.503746,0.261016,0.605751,-0.000000,-3.395661,4.138343,-4.800000,0.000156,-0.549907,0.100091,0.500123,0.005057,0.003025,0.002970,0.003995,-0.005835,-3.167881,4.939997,-4.064603,0.001940,1.200000,-1.200000,0.202492,0,1,1,0,1.000000,0.999990,1.000124,1.003288,0.036700,0.000195,0.008270,0.111088,0.014600,0.082995,0.114266,0.040660
0.130000,-0.000000,-0.544733,0.308780,0.557751,0.000000,-4.407392,4.800000,-4.800000,0.000213,-0.549873,0.100125,0.500168,0.006361,0.003804,0.003735,0.005021,-0.007424,-4.385495,5.839542,-4.401944,0.002312,1.200000,-1.200000,0.271278,0,1,1,0,1.000000,0.999990,1.000124,1.003288,0.036700,0.000195,0.008270,0.111088,0.014600,0.082995,0.114266,0.040660
0.140000,-0.000000,-0.565006,0.306509,0.596017,0.000000,-0.583929,-2.015888,4.800000,0.000283,-0.549830,0.100166,0.500224,0.007859,0.004697,0.004614,0.006198,-0.009276,-0.664503,-0.988791,5.464350,0.003064,0.444434,0.316666,-0.756384,0,0,0,0,1.000000,0.999990,1.000124,1.003288,0.036700,0.000195,0.008270,0.111088,0.014600,0.082995,0.114266,0.040660
0.150000,-0.000000,-0.555366,0.270073,0.644017,0.000000,2.114265,-4.800000,4.800000,0.000370,-0.549778,0.100218,0.500293,0.009561,0.005711,0.005612,0.007533,-0.011413,2.080617,-3.956333,5.798535,0.003949,-1.200000,1.200000,-0.849477,0,1,1,0,1.000000,1.000113,0.999818,1.003883,0.036702,0.001266,0.000000,0.150000,0.014610,0.083411,0.114874,0.036147
0.160000,-0.000000,-0.543064,0.261594,0.604124,0.000000,1.092784,-0.004557,-4.800000,0.000475,-0.549716,0.100279,0.500375,0.011476,0.006850,0.006734,0.009031,-0.013853,1.119193,0.795281,-4.082788,0.004762,-1.200000,-1.079647,0.195580,0,1,0,0,1.000000,1.000113,0.999818,1.003883,0.036702,0.001266,0.000000,0.150000,0.014610,0.083411,0.114874,0.036147
0.170000,-0.000000,-0.549600,0.286283,0.556124,0.000000,-2.035188,4.443749,-4.800000,0.000601,-0.549641,0.100353,0.500474,0.013612,0.008120,0.007986,0.010700,-0.016616,-2.043101,5.365416,-4.421146,0.005224,1.200000,-1.200000,0.245397,0,1,1,0,1.000000,1.000113,0.999818,1.003883,0.036702,0.001266,0.000000,0.150000,0.014610,0.083411,0.114874,0.036147
