t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,s1,s2,s3,s4,tau1,tau2,tau3,tau4,sat1,sat2,sat3,sat4,a1_hat,a2_hat,a3_hat,a4_hat,fv1_hat,fv2_hat,fv3_hat,fv4_hat,fc1_hat,fc2_hat,fc3_hat,fc4_hat
0.120000,0.052766,0.523509,1.084369,-1.467173,1.255164,0.181945,-4.800000,4.800000,0.078969,-0.217590,0.382501,0.900778,0.654220,0.680265,0.682526,0.829464,0.469930,3.207174,1.536152,-55.228222,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000008,1.006282,0.991748,0.800000,0.089860,0.150000,0.150000,0.150000,0.134328,0.300000,0.300000,0.300000
0.130000,0.072974,0.522274,1.036369,-1.419173,2.605036,-0.359077,-4.800000,4.800000,0.085506,-0.210796,0.389320,0.909059,0.653220,0.678581,0.681231,0.826777,1.889158,2.627688,0.989258,-54.232570,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000008,1.006920,0.992657,0.800000,0.082479,0.150000,0.150000,0.150000,0.124930,0.300000,0.300000,0.300000
0.140000,0.072974,0.522274,1.036369,-1.419173,2.605036,-0.359077,-4.800000,4.800000,0.092033,-0.204019,0.396125,0.917313,0.652140,0.676766,0.679834,0.823879,1.857603,2.595619,0.922601,-54.436008,-1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000009,1.007469,0.993445,0.800000,0.055431,0.150000,0.150000,0.150000,0.087147,0.300000,0.300000,0.300000
0.150000,0.089402,0.516126,0.988369,-1.371173,0.904618,-0.811260,-4.800000,4.800000,0.098548,-0.197261,0.402916,0.925536,0.650981,0.674819,0.678335,0.820770,0.207907,2.080853,0.376191,-53.438485,-0.947934,-1.200000,-1.200000,1.200000,0,1,1,1,1.000010,1.008011,0.994230,0.800000,0.027663,0.150000,0.150000,0.150000,0.049995,0.300000,0.300000,0.300000
0.160000,0.090498,0.505896,0.940369,-1.323173,-0.501517,-1.185597,-4.800000,4.800000,0.105052,-0.190523,0.409691,0.933727,0.649744,0.672740,0.676733,0.817451,-1.224034,1.623755,-0.169961,-52.439948,1.200000,-1.200000,0.622319,1.200000,1,1,0,1,1.000010,1.008374,0.994964,0.800000,0.024766,0.150000,0.150000,0.150000,0.045836,0.300000,0.300000,0.300000
0.170000,0.080327,0.492291,0.892369,-1.275173,-1.414008,-1.494497,-4.800000,4.800000,0.111543,-0.183806,0.416450,0.941884,0.648428,0.670531,0.675029,0.813923,-2.218516,1.215460,-0.715847,-51.440346,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000011,1.008645,0.995637,0.800000,0.042453,0.150000,0.134261,0.150000,0.070317,0.300000,0.296601,0.300000
0.180000,0.080327,0.492291,0.892369,-1.275173,-1.414008,-1.494497,-4.800000,4.800000,0.118020,-0.177113,0.423192,0.950005,0.647034,0.668192,0.673224,0.810188,-2.249508,1.184330,-0.781455,-51.639629,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000012,1.008866,0.996260,0.800000,0.078150,0.150000,0.075789,0.150000,0.114687,0.300000,0.282284,0.300000
0.190000,0.073426,0.470669,0.855561,-1.227173,-0.129233,-2.724307,-2.755321,4.800000,0.124483,-0.170443,0.429914,0.958087,0.645562,0.665723,0.671318,0.806245,-1.030084,-0.184470,0.829828,-50.637744,1.200000,-0.319547,-1.200000,1.200000,1,0,1,1,1.000013,1.009083,0.996880,0.800000,0.115739,0.150000,0.012983,0.150000,0.159678,0.300000,0.266655,0.300000
0.200000,0.078491,0.433316,0.845416,-1.179173,1.017538,-4.583110,0.400295,4.800000,0.130931,-0.163799,0.436618,0.966129,0.644012,0.663126,0.669311,0.802096,0.111326,-2.260664,3.818964,-49.634643,-0.259378,1.200000,-1.200000,1.200000,0,1,1,1,1.000013,1.009062,0.996782,0.800000,0.134298,0.140630,0.072484,0.150000,0.180279,0.296311,0.283251,0.300000
0.210000,0.078491,0.433316,0.845416,-1.179173,1.017538,-4.583110,0.400295,4.800000,0.137363,-0.157181,0.443300,0.974129,0.642385,0.660401,0.667203,0.797743,0.080793,-2.291028,3.754245,-49.830274,-0.107272,1.200000,-1.200000,1.200000,0,1,1,1,1.000013,1.008913,0.996246,0.800000,0.132280,0.035624,0.150000,0.150000,0.178053,0.251097,0.300000,0.300000
0.220000,0.094784,0.394838,0.837414,-1.131173,2.115495,-3.233672,-1.771847,4.800000,0.143779,-0.150591,0.449961,0.982083,0.640681,0.657549,0.664995,0.793186,1.229841,-1.164074,1.437687,-48.824587,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000013,1.008761,0.995704,0.800000,0.130766,0.000000,0.150000,0.150000,0.176437,0.205277,0.300000,0.300000
0.230000,0.113818,0.380578,0.801167,-1.083173,1.722766,-0.105848,-4.800000,4.800000,0.150177,-0.144030,0.456600,0.989992,0.638900,0.654571,0.662687,0.788427,0.902071,1.862622,-2.017019,-47.817533,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000014,1.008687,0.995327,0.800000,0.108982,0.000000,0.150000,0.150000,0.151840,0.181995,0.300000,0.300000
0.240000,0.113818,0.380578,0.801167,-1.083173,1.722766,-0.105848,-4.800000,4.800000,0.156557,-0.137500,0.463215,0.997851,0.637043,0.651468,0.660279,0.783466,0.872029,1.833074,-2.080761,-48.009064,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000014,1.008972,0.996139,0.800000,0.094176,0.073330,0.037733,0.150000,0.133799,0.219248,0.259660,0.300000
0.250000,0.124355,0.388343,0.753167,-1.035173,0.533515,1.476382,-4.800000,4.800000,0.162917,-0.131001,0.469805,1.005660,0.635110,0.648240,0.657772,0.778306,-0.294408,3.424866,-2.624157,-46.999130,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000014,1.009253,0.996941,0.800000,0.079338,0.144414,0.000000,0.150000,0.116358,0.255909,0.218044,0.300000
0.260000,0.123904,0.392009,0.723763,-0.987173,-0.500946,-0.548784,-1.412453,4.800000,0.169259,-0.124536,0.476370,1.013417,0.633101,0.644889,0.655166,0.772948,-1.360820,1.389053,0.406314,-45.987683,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000014,1.009881,0.998362,0.800000,0.084213,0.150000,0.000000,0.150000,0.122246,0.300000,0.165561,0.300000
0.270000,0.123904,0.392009,0.723763,-0.987173,-0.500946,-0.548784,-1.412453,4.800000,0.175579,-0.118104,0.482908,1.021119,0.631017,0.641415,0.652462,0.767393,-1.390339,1.360369,0.343636,-46.174674,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000014,1.010082,0.998898,0.800000,0.107616,0.150000,0.014780,0.150000,0.149463,0.300000,0.173688,0.300000
0.280000,0.124469,0.375223,0.728161,-0.939173,0.508899,-2.606575,1.939985,4.800000,0.181879,-0.111708,0.489419,1.028764,0.628858,0.637820,0.649661,0.761643,-0.407009,-0.809740,3.677743,-45.160058,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000015,1.010280,0.999421,0.800000,0.132347,0.150000,0.026849,0.150000,0.177269,0.300000,0.180560,0.300000
0.290000,0.135149,0.350241,0.741072,-0.891173,1.525281,-2.411733,0.767704,4.800000,0.188156,-0.105348,0.495901,1.036351,0.626625,0.634104,0.646761,0.755699,0.633623,-0.767893,2.572655,-44.143786,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000015,1.010205,0.999702,0.800000,0.139803,0.120901,0.150000,0.150000,0.185410,0.283805,0.254115,0.300000
0.300000,0.135149,0.350241,0.741072,-0.891173,1.525281,-2.411733,0.767704,4.800000,0.194411,-0.099026,0.502354,1.043877,0.624318,0.630269,0.643765,0.749563,0.604656,-0.795667,2.511124,-44.325812,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000015,1.010144,0.999766,0.800000,0.128503,0.095655,0.150000,0.150000,0.172737,0.268447,0.300000,0.300000
0.310000,0.155800,0.343648,0.730169,-0.843173,2.486776,0.781277,-2.608981,4.800000,0.200642,-0.092743,0.508776,1.051342,0.621937,0.626316,0.640672,0.743237,1.640630,2.336918,-1.035720,-43.306089,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000015,1.010081,0.999815,0.800000,0.117370,0.069938,0.150000,0.150000,0.160644,0.252534,0.300000,0.300000
0.320000,0.174216,0.367556,0.688185,-0.795173,1.324993,3.327576,-4.800000,4.800000,0.206849,-0.086500,0.515167,1.058741,0.619483,0.622245,0.637484,0.736722,0.542345,4.975609,-3.707300,-42.284573,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000016,1.010468,1.000660,0.800000,0.089606,0.142646,0.117411,0.150000,0.127831,0.299272,0.279286,0.300000
0.330000,0.181693,0.389388,0.658053,-0.747173,0.297005,1.248331,-1.539686,4.800000,0.213032,-0.080299,0.521525,1.066075,0.616957,0.618059,0.634200,0.730020,-0.476643,2.978706,-0.808614,-41.261218,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000016,1.011556,1.002709,0.800000,0.081117,0.150000,0.036392,0.150000,0.116985,0.300000,0.205140,0.300000
0.340000,0.181693,0.389388,0.658053,-0.747173,0.297005,1.248331,-1.539686,4.800000,0.219188,-0.074139,0.527851,1.073341,0.614358,0.613758,0.630821,0.723133,-0.504828,2.952211,-0.868486,-41.435978,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000016,1.012092,1.003804,0.800000,0.088492,0.150000,0.024568,0.150000,0.126517,0.300000,0.188967,0.300000
0.350000,0.179422,0.390540,0.660632,-0.699173,-0.653983,-0.805562,1.715716,4.800000,0.225319,-0.068024,0.534141,1.080537,0.611688,0.609344,0.627347,0.716063,-1.495154,0.877915,2.353273,-40.408812,1.200000,-1.200000,-1.200000,1.200000,1,1,1,1,1.000016,1.012623,1.004884,0.800000,0.096587,0.150000,0.012910,0.150000,0.136614,0.300000,0.171598,0.300000
0.360000,0.178190,0.371421,0.695042,-0.651173,0.319100,-2.810297,4.823669,4.800000,0.231422,-0.061953,0.540397,1.087662,0.608947,0.604817,0.623780,0.708811,-0.556008,-1.248245,5.746336,-39.379673,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000016,1.012750,1.005640,0.800000,0.121741,0.150000,0.042917,0.150000,0.166517,0.300000,0.218663,0.300000
0.370000,0.178190,0.371421,0.695042,-0.651173,0.319100,-2.810297,4.823669,4.800000,0.237497,-0.055928,0.546617,1.094713,0.606135,0.600180,0.620120,0.701381,-0.583573,-1.273733,5.687801,-39.548520,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000016,1.012641,1.006647,0.800000,0.131472,0.111004,0.148956,0.150000,0.177637,0.275035,0.300000,0.300000
0.380000,0.187160,0.344707,0.736915,-0.603173,1.383956,-2.571379,3.680213,4.800000,0.243544,-0.049950,0.552799,1.101689,0.603254,0.595433,0.616366,0.693773,0.498780,-1.193531,4.905000,-38.515310,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000017,1.012528,1.007631,0.800000,0.142008,0.071860,0.150000,0.150000,0.189309,0.249560,0.300000,0.300000
0.390000,0.205850,0.336296,0.750777,-0.584805,2.092079,-0.516351,-1.286572,2.935397,0.249562,-0.044019,0.558944,1.108588,0.600302,0.590578,0.612521,0.685990,1.273217,0.794650,0.019240,-40.085421,-1.200000,-1.200000,-0.850011,1.200000,1,1,0,1,1.000017,1.012433,1.008304,0.800000,0.133178,0.038970,0.150000,0.150000,0.179333,0.225690,0.300000,0.300000
0.400000,0.205850,0.336296,0.750777,-0.584805,2.092079,-0.516351,-1.286572,2.935397,0.255550,-0.038138,0.565049,1.115408,0.597282,0.585616,0.608585,0.678033,1.246297,0.770206,-0.037880,-40.247971,-1.200000,-1.200000,-0.270568,1.200000,1,1,0,1,1.000017,1.012548,1.008599,0.800000,0.112326,0.059806,0.150000,0.150000,0.153869,0.241583,0.300000,0.300000
0.410000,0.217490,0.335816,0.719643,-0.537384,0.433675,0.895916,-4.402554,4.800000,0.261508,-0.032307,0.571115,1.122148,0.594194,0.580550,0.604558,0.669906,-0.380604,2.155982,-3.521831,-37.358207,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000018,1.012660,1.008881,0.800000,0.091244,0.079624,0.149054,0.150000,0.128943,0.256987,0.299242,0.300000
0.420000,0.217490,0.335816,0.719643,-0.537384,0.433675,0.895916,-4.402554,4.800000,0.267434,-0.026528,0.577140,1.128806,0.591038,0.575379,0.600441,0.661611,-0.407079,2.132254,-3.577964,-37.516355,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000018,1.012995,1.009662,0.800000,0.097442,0.133958,0.087019,0.150000,0.136555,0.300000,0.228806,0.300000
0.430000,0.215887,0.341162,0.678855,-0.489384,-0.614173,0.242390,-3.811688,4.800000,0.273328,-0.020800,0.583124,1.135380,0.587815,0.570106,0.596234,0.653149,-1.489191,1.482097,-3.450606,-36.472241,1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000018,1.013327,1.010432,0.800000,0.104287,0.150000,0.028012,0.150000,0.144696,0.300000,0.157247,0.300000
0.440000,0.215440,0.332404,0.657689,-0.441384,0.408152,-1.798937,-0.726222,4.800000,0.279190,-0.015126,0.589065,1.141868,0.584525,0.564732,0.591939,0.644523,-0.495124,-0.626019,-0.631918,-35.425827,1.200000,1.200000,1.200000,1.200000,1,1,1,1,1.000018,1.013547,1.010920,0.800000,0.130349,0.150000,0.003093,0.150000,0.174480,0.300000,0.088234,0.300000
0.450000,0.225002,0.302958,0.667248,-0.393384,1.411508,-3.888357,2.315701,4.800000,0.285018,-0.009506,0.594962,1.148270,0.581170,0.559259,0.587555,0.635735,0.530256,-2.885294,2.451002,-34.377075,-1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000018,1.013485,1.010663,0.800000,0.139293,0.135315,0.001901,0.150000,0.184383,0.287480,0.076164,0.300000
