t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,s1,s2,s3,s4,tau1,tau2,tau3,tau4,sat1,sat2,sat3,sat4,a1_hat,a2_hat,a3_hat,a4_hat,fv1_hat,fv2_hat,fv3_hat,fv4_hat,fc1_hat,fc2_hat,fc3_hat,fc4_hat
0.010000,-0.059626,-0.258713,0.284159,0.384211,0.836307,-0.272066,1.001919,4.800000,0.006600,-0.293100,0.306900,0.808450,0.659960,0.689932,0.689948,0.844892,-0.154781,-0.790062,0.198267,1.833915,0.114494,0.215718,-0.492614,-0.273980,0,0,0,0,1.000000,1.000000,1.000000,1.000000,0.036700,0.000000,0.000000,0.005000,0.014600,0.083000,0.114300,0.041300
0.020000,-0.050484,-0.251569,0.281337,0.432211,0.973554,1.442832,-1.213780,4.800000,0.013199,-0.286202,0.313799,0.816897,0.659839,0.689729,0.689792,0.844567,-0.004697,0.926266,-2.065878,2.032002,0.049239,-1.155875,0.223548,-0.328466,0,0,0,0,1.000000,1.000069,0.999867,1.000006,0.039768,0.008185,0.000000,0.000000,0.017696,0.098770,0.110335,0.004622
0.030000,-0.040387,-0.234807,0.279611,0.440270,1.036017,2.005144,0.000000,-0.793262,0.019796,-0.279306,0.320695,0.825340,0.659638,0.689390,0.689532,0.844026,0.075462,1.538251,-0.894951,-3.562638,0.011455,-1.200000,-0.040286,0.237809,0,1,0,0,1.000000,1.000025,0.999549,0.999464,0.039860,0.000000,0.035207,0.000000,0.017790,0.080282,0.151651,0.000000
0.040000,-0.040387,-0.234807,0.279611,0.440270,1.036017,2.005144,0.000000,-0.793262,0.026391,-0.272414,0.327589,0.833777,0.659356,0.688915,0.689168,0.843269,0.042768,1.504267,-0.929055,-3.604064,0.029459,-1.200000,-0.028659,0.242088,0,1,0,0,1.000000,1.000025,0.999549,0.999464,0.039860,0.000000,0.035207,0.000000,0.017790,0.080282,0.151651,0.000000
0.050000,-0.030172,-0.226700,0.305022,0.394813,1.014219,0.003492,3.611770,-4.800000,0.032983,-0.265528,0.334478,0.842205,0.658995,0.688305,0.688700,0.842295,0.039449,-0.490673,2.775791,-7.879254,0.019635,-0.015297,-1.172850,0.659701,0,0,0,0,1.000000,1.000025,0.999549,0.999464,0.039860,0.000000,0.035207,0.000000,0.017790,0.080282,0.151651,0.000000
0.060000,-0.020136,-0.231134,0.329579,0.403681,0.998905,-0.866214,1.906407,4.407294,0.039571,-0.258649,0.341363,0.850622,0.658553,0.687560,0.688129,0.841106,0.041815,-1.416200,1.159361,1.331483,0.006294,0.721029,-0.810491,0.338202,0,0,0,0,1.000000,1.000059,1.000333,0.999245,0.039091,0.004849,0.000000,0.150000,0.017001,0.090069,0.096137,0.157585
0.070000,-0.010236,-0.230393,0.334969,0.451681,0.978963,0.722619,-0.332515,4.800000,0.046154,-0.251778,0.348241,0.859026,0.658030,0.686680,0.687453,0.839702,0.038984,0.142862,-1.086328,1.923573,0.015666,-0.496125,-0.116187,0.004151,0,0,0,0,1.000000,1.000187,1.000334,0.999506,0.038290,0.020427,0.000000,0.068092,0.016164,0.118356,0.072952,0.130955
0.080000,-0.000751,-0.212675,0.321831,0.499681,0.920164,2.630747,-2.123773,4.800000,0.052731,-0.244916,0.355111,0.867415,0.657428,0.685665,0.686675,0.838083,-0.004676,2.106283,-2.976848,2.123247,0.047430,-1.200000,0.505733,-0.237716,0,1,0,0,1.000000,1.000179,1.000065,0.999080,0.037558,0.018771,0.016378,0.000000,0.015385,0.115501,0.094677,0.092484
0.090000,0.008125,-0.191738,0.315585,0.521875,0.863010,1.758533,0.220872,0.918805,0.059302,-0.238065,0.361974,0.875787,0.656746,0.684515,0.685792,0.836249,-0.049622,1.305649,-0.696863,-1.687006,0.067635,-1.200000,-0.189543,0.143682,0,1,0,0,1.000000,1.000179,1.000065,0.999080,0.037558,0.018771,0.016378,0.000000,0.015385,0.115501,0.094677,0.092484
0.100000,0.016715,-0.189149,0.350979,0.479678,0.860436,-0.600285,4.800000,-4.800000,0.065866,-0.231226,0.368827,0.884140,0.655984,0.683232,0.684807,0.834200,-0.041300,-1.073135,4.025955,-7.656509,0.051362,0.471924,-1.200000,0.729503,0,0,1,0,1.000000,1.000179,1.000065,0.999080,0.037558,0.018771,0.016378,0.000000,0.015385,0.115501,0.094677,0.092484
