t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,dq1_filt,dq2_filt,dq3_filt,dq4_filt,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,tau1,tau2,tau3,tau4,curr_cmd1,curr_cmd2,curr_cmd3,curr_cmd4,curr_meas1,curr_meas2,curr_meas3,curr_meas4
0.160122,0.158000,0.862097,0.478602,-1.607612,0.000000,0.119904,-0.095923,0.000000,0.034686,0.206503,-0.072428,0.006884,0.153028,0.877915,0.495857,-1.592004,0.021092,-0.019307,-0.020925,0.060776,-0.025852,-0.486231,-0.110113,-0.063802,-5,-133,-56,-17,0,-110,-41,-15
0.170088,0.158000,0.862097,0.478602,-1.606078,0.000000,0.167866,-0.047962,0.047962,0.033488,0.247470,-0.043841,0.039595,0.153250,0.877711,0.495636,-1.591362,0.023602,-0.021652,-0.023426,0.068096,-0.023375,-0.522223,-0.127260,-0.073432,-4,-142,-61,-18,-2,-132,-53,-15
0.180086,0.158000,0.857495,0.477068,-1.604544,0.000000,0.239808,0.000000,0.071942,0.030089,0.215436,-0.035454,0.068326,0.153500,0.877482,0.495389,-1.590643,0.026237,-0.024123,-0.026054,0.075798,-0.019999,-0.497684,-0.116448,-0.070339,-3,-138,-60,-17,-3,-138,-61,-16
0.190078,0.158000,0.851359,0.475534,-1.604544,0.000000,0.215827,0.000000,0.095923,0.025643,0.129894,-0.039857,0.080099,0.153775,0.877228,0.495115,-1.589845,0.028985,-0.026708,-0.028795,0.083846,-0.016065,-0.426732,-0.087119,-0.054375,-2,-122,-54,-14,-3,-134,-61,-18
0.200117,0.156466,0.848291,0.474000,-1.604544,0.000000,0.167866,0.000000,0.095923,0.008652,0.043634,-0.051582,0.080754,0.154081,0.876947,0.494812,-1.588962,0.031855,-0.029420,-0.031662,0.092273,-0.000032,-0.367299,-0.061312,-0.040413,1,-110,-49,-10,-2,-122,-52,-14
0.210063,0.158000,0.848291,0.472466,-1.604544,0.000000,0.071942,-0.023981,0.095923,0.010037,-0.011613,-0.066762,0.074687,0.154412,0.876640,0.494482,-1.588001,0.034804,-0.032217,-0.034611,0.100952,-0.005289,-0.332828,-0.044982,-0.031364,0,-102,-47,-8,1,-107,-49,-10
0.220063,0.156466,0.848291,0.472466,-1.604544,0.000000,0.000000,-0.047962,0.071942,-0.002206,-0.043832,-0.070530,0.065072,0.154775,0.876304,0.494121,-1.586947,0.037872,-0.035137,-0.037679,0.109999,0.009489,-0.312664,-0.038235,-0.024691,4,-99,-46,-6,0,-100,-47,-6
0.230091,0.158000,0.848291,0.472466,-1.604544,0.000000,-0.095923,-0.047962,0.047962,0.002896,-0.059657,-0.067148,0.054097,0.155171,0.875936,0.493727,-1.585797,0.041047,-0.038172,-0.040859,0.119387,0.003328,-0.299082,-0.035139,-0.019066,2,-96,-46,-5,5,-99,-45,-5
0.240173,0.158000,0.848291,0.469398,-1.604544,0.000000,-0.143885,-0.071942,0.023981,0.005725,-0.064380,-0.084290,0.043185,0.155601,0.875535,0.493299,-1.584544,0.044335,-0.041328,-0.044155,0.129133,0.005766,-0.275256,-0.021404,-0.011611,3,-91,-44,-3,1,-97,-43,-5
0.250092,0.158000,0.848291,0.466330,-1.604544,0.000000,-0.143885,-0.095923,0.000000,0.006965,-0.062063,-0.112376,0.033182,0.156057,0.875110,0.492844,-1.583215,0.047661,-0.044533,-0.047491,0.139015,0.008907,-0.251686,-0.006859,-0.004224,4,-87,-41,-2,2,-90,-44,-3
0.260092,0.158000,0.846757,0.463262,-1.603010,0.000000,-0.095923,-0.119904,0.000000,0.007152,-0.067979,-0.144782,0.036798,0.156551,0.874648,0.492352,-1.581773,0.051102,-0.047862,-0.050946,0.149263,0.012658,-0.230451,0.008143,-0.000203,5,-82,-39,-1,3,-86,-44,-1
0.270109,0.158000,0.848291,0.460194,-1.603010,0.000000,-0.047962,-0.143885,0.000000,0.006692,-0.053819,-0.177186,0.036024,0.157081,0.874151,0.491824,-1.580226,0.054633,-0.051294,-0.054494,0.159807,0.016858,-0.219197,0.018145,0.004552,6,-80,-37,0,5,-80,-36,-2
0.280102,0.158000,0.848291,0.457126,-1.603010,0.000000,-0.023981,-0.167866,0.000000,0.005880,-0.041018,-0.206997,0.032677,0.157645,0.873621,0.491262,-1.578575,0.058236,-0.054810,-0.058119,0.170594,0.021397,-0.198691,0.031119,0.011572,7,-76,-35,2,6,-81,-36,1
0.290101,0.158000,0.849825,0.454058,-1.601476,0.000000,0.000000,-0.215827,0.023981,0.004923,-0.017783,-0.232868,0.040327,0.158245,0.873055,0.490662,-1.576814,0.061918,-0.058419,-0.061826,0.181648,0.026216,-0.204765,0.034377,0.010355,8,-78,-35,2,7,-73,-38,1
0.300074,0.158000,0.849825,0.454058,-1.601476,0.000000,0.000000,-0.239808,0.023981,0.003955,-0.002420,-0.229761,0.041691,0.158881,0.872454,0.490027,-1.574947,0.065664,-0.062108,-0.065602,0.192924,0.031159,-0.201486,0.032321,0.014679,9,-78,-36,3,5,-78,-37,1
0.310074,0.159534,0.851359,0.454058,-1.599942,0.000000,0.023981,-0.239808,0.023981,0.015329,0.019263,-0.209516,0.051445,0.159557,0.871814,0.489351,-1.572960,0.069490,-0.065893,-0.069463,0.204474,0.024301,-0.225243,0.019076,0.010919,8,-83,-39,2,9,-80,-35,2
0.320086,0.159534,0.852893,0.454058,-1.598408,0.000000,0.047962,-0.215827,0.047962,0.020928,0.043004,-0.180608,0.065455,0.160272,0.871135,0.488636,-1.570854,0.073388,-0.069767,-0.073400,0.216273,0.027378,-0.251712,0.003781,0.006712,9,-90,-43,1,8,-83,-36,2
0.330074,0.161068,0.852893,0.454058,-1.593806,0.000000,0.047962,-0.191847,0.071942,0.034884,0.053808,-0.148814,0.105439,0.161025,0.870419,0.487883,-1.568634,0.077340,-0.073712,-0.077395,0.228269,0.020026,-0.294965,-0.016207,-0.006805,7,-100,-48,-2,8,-89,-46,1
0.340076,0.162602,0.852893,0.452524,-1.589204,0.023981,0.047962,-0.143885,0.095923,0.052739,0.055986,-0.130105,0.157810,0.161819,0.869661,0.487089,-1.566290,0.081357,-0.077743,-0.081462,0.240501,0.011546,-0.329570,-0.029124,-0.019097,6,-108,-51,-5,6,-101,-49,-4
0.350075,0.164136,0.852893,0.452524,-1.586136,0.047962,0.047962,-0.095923,0.143885,0.071505,0.052814,-0.108471,0.201152,0.162652,0.868864,0.486254,-1.563823,0.085430,-0.081849,-0.085589,0.252939,0.002914,-0.353081,-0.041564,-0.025865,4,-113,-54,-6,6,-109,-49,-5
0.360073,0.164136,0.852893,0.452524,-1.581534,0.071942,0.047962,-0.071942,0.191847,0.077044,0.046685,-0.086812,0.247880,0.163527,0.868024,0.485377,-1.561231,0.089556,-0.086030,-0.089775,0.265578,0.006877,-0.387963,-0.057702,-0.037391,5,-121,-58,-9,3,-113,-53,-2
0.370075,0.164136,0.852893,0.449456,-1.576932,0.071942,0.047962,-0.047962,0.263789,0.074204,0.039274,-0.091416,0.292902,0.164444,0.867143,0.484458,-1.558511,0.093733,-0.090285,-0.094018,0.278416,0.014100,-0.406309,-0.060187,-0.045681,6,-126,-59,-11,3,-122,-58,-23
0.380074,0.164136,0.852893,0.447922,-1.573864,0.071942,0.023981,-0.047962,0.311751,0.066564,0.031685,-0.099137,0.321027,0.165402,0.866218,0.483497,-1.555662,0.097956,-0.094609,-0.098313,0.291434,0.023258,-0.412427,-0.061190,-0.047965,8,-127,-59,-11,4,-125,-58,-18
0.390077,0.164136,0.851359,0.446388,-1.567728,0.071942,0.000000,-0.071942,0.359712,0.056654,0.012325,-0.108111,0.361307,0.166403,0.865250,0.482491,-1.552681,0.102225,-0.099002,-0.102659,0.304637,0.033502,-0.432436,-0.065963,-0.058257,11,-132,-60,-13,9,-129,-55,1
0.400073,0.165670,0.852893,0.443320,-1.564660,0.047962,0.000000,-0.095923,0.383693,0.058448,0.011994,-0.129389,0.381114,0.167446,0.864238,0.481443,-1.549569,0.106532,-0.103458,-0.107049,0.318001,0.032079,-0.438730,-0.063654,-0.060058,10,-133,-60,-14,11,-133,-61,-3
0.410075,0.165670,0.852893,0.440252,-1.560058,0.047962,0.000000,-0.119904,0.383693,0.054849,0.010837,-0.156349,0.399325,0.168534,0.863181,0.480351,-1.546321,0.110878,-0.107981,-0.111485,0.331534,0.040672,-0.446765,-0.061031,-0.064352,12,-135,-59,-15,9,-134,-62,-24
0.420078,0.165670,0.852893,0.438719,-1.558524,0.023981,0.000000,-0.143885,0.383693,0.048301,0.009275,-0.172289,0.390577,0.169665,0.862078,0.479213,-1.542936,0.115259,-0.112565,-0.115963,0.345223,0.050507,-0.430384,-0.054258,-0.057221,14,-132,-58,-13,12,-133,-58,-6
0.430074,0.167204,0.852893,0.434117,-1.553923,0.023981,0.000000,-0.167866,0.383693,0.052780,0.007596,-0.204885,0.390898,0.170839,0.860930,0.478031,-1.539416,0.119668,-0.117205,-0.120476,0.359050,0.048963,-0.426600,-0.044529,-0.058066,14,-131,-56,-13,13,-131,-59,-19
0.440102,0.167204,0.852893,0.431049,-1.552389,0.023981,0.000000,-0.191847,0.359712,0.051245,0.005981,-0.232596,0.372090,0.172061,0.859731,0.476800,-1.535746,0.124120,-0.121917,-0.125038,0.373059,0.057661,-0.398859,-0.030086,-0.047961,16,-125,-53,-11,13,-130,-59,-8
0.450124,0.167204,0.852893,0.427981,-1.550855,0.023981,0.000000,-0.215827,0.359712,0.046225,0.004534,-0.255158,0.343311,0.173328,0.858485,0.475524,-1.531936,0.128594,-0.126682,-0.129630,0.387195,0.067891,-0.369246,-0.015670,-0.036809,18,-118,-50,-9,15,-122,-52,-13
0.460081,0.167204,0.852893,0.424913,-1.549321,0.023981,0.000000,-0.239808,0.311751,0.039514,0.003302,-0.272827,0.310850,0.174630,0.857200,0.474211,-1.528011,0.133061,-0.131468,-0.134222,0.401360,0.078966,-0.339198,-0.001720,-0.025204,21,-111,-46,-6,17,-116,-52,-10
0.470098,0.168738,0.852893,0.420311,-1.546253,0.023981,0.000000,-0.263789,0.287770,0.044599,0.002300,-0.298417,0.291049,0.175986,0.855859,0.472843,-1.523918,0.137575,-0.136334,-0.138868,0.415730,0.078266,-0.316599,0.013189,-0.017995,21,-106,-43,-5,20,-113,-46,-9
0.480077,0.170272,0.852893,0.417243,-1.546253,0.023981,0.000000,-0.287770,0.263789,0.056354,0.001514,-0.314442,0.255884,0.177381,0.854474,0.471434,-1.519698,0.142087,-0.141229,-0.143519,0.430152,0.075195,-0.272152,0.031537,-0.000437,20,-96,-39,-1,21,-104,-39,-1
0.490080,0.170272,0.852893,0.414175,-1.544719,0.047962,0.000000,-0.311751,0.215827,0.058898,0.000921,-0.323445,0.226587,0.178825,0.853036,0.469975,-1.515322,0.146624,-0.146184,-0.148204,0.444713,0.083787,-0.242090,0.044212,0.011820,22,-90,-36,2,19,-93,-40,1
0.500078,0.171806,0.852893,0.412641,-1.541651,0.047962,0.000000,-0.311751,0.191847,0.067985,0.000492,-0.315243,0.215425,0.180314,0.851550,0.468470,-1.510802,0.151170,-0.151180,-0.152905,0.459363,0.082077,-0.236547,0.044050,0.016412,22,-88,-36,3,21,-90,-34,1
0.510075,0.173340,0.852893,0.411107,-1.538583,0.047962,0.000000,-0.311751,0.191847,0.080270,0.000195,-0.297374,0.216038,0.181848,0.850013,0.466918,-1.506137,0.155722,-0.156218,-0.157620,0.474097,0.079416,-0.234773,0.041402,0.020077,21,-88,-37,4,22,-85,-36,2
0.520075,0.174874,0.852893,0.411107,-1.532447,0.071942,0.000000,-0.287770,0.191847,0.093491,0.000001,-0.262863,0.248210,0.183428,0.848426,0.465318,-1.501322,0.160281,-0.161299,-0.162351,0.488918,0.076541,-0.273017,0.020691,0.009930,21,-97,-42,2,20,-89,-36,5
0.530076,0.177942,0.852893,0.409573,-1.524777,0.095923,0.000000,-0.263789,0.239808,0.118488,-0.000115,-0.233399,0.309015,0.185053,0.846787,0.463670,-1.496358,0.164842,-0.166418,-0.167092,0.503813,0.061576,-0.323187,-0.001188,-0.006136,18,-108,-46,-2,20,-98,-43,1
0.540080,0.179476,0.852893,0.409573,-1.518641,0.119904,0.000000,-0.215827,0.287770,0.136279,-0.000176,-0.197049,0.369865,0.186725,0.845096,0.461975,-1.491243,0.169404,-0.171576,-0.171843,0.518782,0.057453,-0.366996,-0.024661,-0.018073,17,-118,-52,-4,17,-110,-47,8
0.550103,0.181010,0.852893,0.409573,-1.510971,0.119904,0.000000,-0.167866,0.383693,0.148324,-0.000198,-0.159475,0.438145,0.188446,0.843351,0.460229,-1.485968,0.173971,-0.176778,-0.176608,0.533839,0.055691,-0.424902,-0.053482,-0.035335,16,-131,-58,-8,17,-119,-52,6
0.560070,0.182544,0.852893,0.409573,-1.504835,0.143885,0.000000,-0.119904,0.431655,0.155956,-0.000195,-0.124172,0.493148,0.190203,0.841563,0.458445,-1.480572,0.178507,-0.181984,-0.181350,0.548865,0.055713,-0.466252,-0.076541,-0.046132,17,-140,-63,-11,14,-132,-59,3
0.570080,0.185612,0.851359,0.409573,-1.500233,0.167866,0.000000,-0.071942,0.503597,0.172603,-0.012450,-0.093057,0.523514,0.192012,0.839715,0.456606,-1.475002,0.183054,-0.187243,-0.186112,0.564005,0.044541,-0.474180,-0.086770,-0.046477,14,-142,-66,-11,16,-142,-65,-26
0.580075,0.187146,0.851359,0.408039,-1.494097,0.167866,0.000000,-0.047962,0.551559,0.181054,-0.018807,-0.079215,0.548940,0.193865,0.837817,0.454722,-1.469289,0.187583,-0.192523,-0.190864,0.579160,0.044847,-0.495311,-0.097748,-0.051740,14,-147,-68,-12,13,-143,-63,0
0.590067,0.190214,0.852893,0.408039,-1.489495,0.191847,0.000000,-0.023981,0.575540,0.196185,-0.008845,-0.064573,0.557096,0.195761,0.835867,0.452791,-1.463427,0.192096,-0.197829,-0.195611,0.594345,0.034629,-0.519489,-0.113401,-0.054351,12,-152,-72,-12,13,-146,-68,-21
0.600074,0.191748,0.852893,0.408039,-1.484893,0.191847,0.000000,-0.023981,0.575540,0.201840,-0.002160,-0.050622,0.554237,0.197706,0.833860,0.450810,-1.457402,0.196601,-0.203168,-0.200358,0.609582,0.036354,-0.530307,-0.123924,-0.053531,13,-155,-74,-12,11,-153,-73,-20
0.610082,0.193282,0.851359,0.406505,-1.481825,0.191847,0.000000,-0.023981,0.551559,0.201358,-0.010248,-0.050473,0.532727,0.199696,0.831800,0.448781,-1.451225,0.201086,-0.208531,-0.205096,0.624841,0.040700,-0.500373,-0.114865,-0.041135,14,-148,-72,-9,13,-159,-71,-17
0.620077,0.196350,0.848291,0.403437,-1.477223,0.191847,0.000000,-0.023981,0.527578,0.209504,-0.038825,-0.070890,0.514018,0.201728,0.829689,0.446707,-1.444904,0.205544,-0.213908,-0.209816,0.640093,0.033973,-0.456711,-0.095024,-0.028352,12,-138,-68,-7,14,-146,-69,0
0.630079,0.197884,0.846757,0.400369,-1.474156,0.191847,-0.023981,-0.071942,0.503597,0.209903,-0.065136,-0.102012,0.486215,0.203807,0.827523,0.444585,-1.438425,0.209982,-0.219309,-0.214525,0.655367,0.038609,-0.404168,-0.071029,-0.010940,13,-126,-62,-3,11,-139,-69,-8
0.640071,0.199418,0.846757,0.397301,-1.469554,0.191847,-0.047962,-0.095923,0.455636,0.205622,-0.075713,-0.137068,0.467451,0.205927,0.825304,0.442418,-1.431801,0.214389,-0.224723,-0.219213,0.670627,0.045243,-0.379874,-0.057599,-0.001901,15,-121,-59,-1,11,-124,-63,-18
0.650073,0.200951,0.846757,0.392699,-1.466486,0.191847,-0.071942,-0.143885,0.431655,0.198875,-0.076001,-0.183952,0.443341,0.208093,0.823029,0.440202,-1.425017,0.218772,-0.230158,-0.223887,0.685898,0.053180,-0.336363,-0.033600,0.013746,16,-111,-54,3,15,-119,-55,3
0.660070,0.204019,0.846757,0.388097,-1.461884,0.167866,-0.071942,-0.191847,0.407674,0.203461,-0.070095,-0.234182,0.430223,0.210302,0.820701,0.437941,-1.418083,0.223121,-0.235605,-0.228538,0.701153,0.048769,-0.309096,-0.015337,0.023461,15,-105,-50,5,16,-109,-55,1
0.670074,0.207087,0.846757,0.383495,-1.455748,0.167866,-0.071942,-0.239808,0.407674,0.214479,-0.060943,-0.282401,0.437022,0.212556,0.818317,0.435631,-1.410993,0.227440,-0.241069,-0.233169,0.716401,0.042116,-0.300076,-0.004110,0.026574,14,-103,-47,6,14,-105,-51,4
0.680071,0.208621,0.846757,0.378893,-1.446544,0.191847,-0.071942,-0.311751,0.407674,0.216204,-0.050576,-0.325555,0.479770,0.214851,0.815880,0.433277,-1.403755,0.231721,-0.246540,-0.237771,0.731619,0.047603,-0.326171,-0.006568,0.016759,15,-109,-48,4,13,-100,-44,5
0.690067,0.211689,0.846757,0.375825,-1.437340,0.191847,-0.047962,-0.335732,0.455636,0.224486,-0.040310,-0.349948,0.540669,0.217188,0.813388,0.430878,-1.396366,0.235962,-0.252019,-0.242345,0.746806,0.042255,-0.365443,-0.018885,0.004030,14,-117,-51,1,15,-110,-49,3
0.700074,0.213223,0.846757,0.371223,-1.426602,0.215827,-0.023981,-0.383693,0.527578,0.223768,-0.030926,-0.373403,0.619857,0.219571,0.810839,0.428430,-1.388817,0.240169,-0.257513,-0.246894,0.761978,0.049140,-0.415834,-0.033352,-0.013654,16,-129,-54,-3,14,-117,-53,1
0.710065,0.216291,0.845223,0.366621,-1.417398,0.215827,0.000000,-0.383693,0.623501,0.229980,-0.035093,-0.394419,0.691413,0.221991,0.808238,0.425940,-1.381128,0.244326,-0.263004,-0.251405,0.777086,0.045045,-0.436654,-0.036587,-0.022388,15,-134,-54,-5,15,-130,-50,18
0.720065,0.220893,0.846757,0.362019,-1.408194,0.239808,0.000000,-0.407674,0.719425,0.252124,-0.022514,-0.412291,0.752664,0.224455,0.805581,0.423404,-1.373282,0.248443,-0.268504,-0.255885,0.792164,0.026315,-0.480083,-0.049861,-0.035112,11,-143,-57,-8,16,-132,-51,-9
0.730104,0.223961,0.846757,0.355884,-1.400524,0.263789,0.000000,-0.407674,0.791367,0.269784,-0.013166,-0.439118,0.790561,0.226969,0.802858,0.420813,-1.365254,0.252528,-0.274029,-0.260347,0.807250,0.018137,-0.485555,-0.044907,-0.036688,9,-145,-56,-8,9,-142,-57,-17
0.740065,0.227029,0.846757,0.351282,-1.392855,0.263789,0.000000,-0.431655,0.863310,0.283341,-0.006503,-0.456900,0.811414,0.229505,0.800101,0.418197,-1.357138,0.256533,-0.279512,-0.264737,0.822164,0.011495,-0.493339,-0.044237,-0.037901,8,-146,-56,-8,8,-144,-53,-11
0.750090,0.230097,0.846757,0.346680,-1.385185,0.263789,0.000000,-0.431655,0.887290,0.293352,-0.001986,-0.467833,0.820371,0.232097,0.797271,0.415521,-1.348821,0.260513,-0.285030,-0.269114,0.837112,0.006460,-0.497904,-0.043074,-0.037680,7,-147,-56,-8,7,-146,-53,5
0.760105,0.233165,0.846757,0.342078,-1.379049,0.287770,0.000000,-0.455636,0.887290,0.300434,0.000884,-0.473782,0.809204,0.234725,0.794389,0.412805,-1.340363,0.264435,-0.290540,-0.273446,0.851979,0.002697,-0.483703,-0.034964,-0.030471,6,-144,-54,-7,5,-148,-59,5
0.770074,0.234699,0.846757,0.339010,-1.372913,0.287770,0.000000,-0.455636,0.839329,0.292920,0.002535,-0.463992,0.786854,0.237381,0.791465,0.410057,-1.331796,0.268285,-0.296023,-0.277713,0.866708,0.013556,-0.475239,-0.033164,-0.023805,8,-142,-54,-5,5,-142,-52,3
0.780096,0.237767,0.845223,0.334408,-1.366777,0.287770,0.000000,-0.431655,0.791367,0.289522,-0.008949,-0.457815,0.759583,0.240089,0.788471,0.407253,-1.323036,0.272098,-0.301528,-0.281958,0.881436,0.014327,-0.442825,-0.018537,-0.011851,8,-135,-50,-3,8,-143,-54,3
0.790074,0.242369,0.846757,0.332874,-1.360641,0.287770,0.000000,-0.431655,0.743406,0.301137,-0.002852,-0.429755,0.731542,0.242822,0.785435,0.404418,-1.314168,0.275836,-0.307004,-0.286136,0.896020,0.000200,-0.452642,-0.028481,-0.008309,5,-137,-53,-2,7,-134,-52,9
0.800095,0.245437,0.846757,0.328272,-1.356039,0.287770,0.000000,-0.407674,0.695444,0.308559,0.001035,-0.415354,0.693009,0.245605,0.782331,0.401530,-1.305116,0.279528,-0.312495,-0.290283,0.910579,-0.003087,-0.419684,-0.014844,0.006709,5,-130,-50,2,3,-137,-52,-9
0.810096,0.248505,0.845223,0.323670,-1.349903,0.287770,0.000000,-0.383693,0.647482,0.312871,-0.008988,-0.410301,0.663536,0.248419,0.779178,0.398607,-1.295938,0.283150,-0.317965,-0.294369,0.925017,-0.004960,-0.384293,0.001326,0.019798,4,-122,-46,4,4,-128,-49,14
0.820115,0.250039,0.846757,0.320602,-1.348369,0.287770,0.000000,-0.359712,0.599521,0.302700,-0.002011,-0.398988,0.605041,0.251273,0.775965,0.395637,-1.286598,0.286714,-0.323435,-0.298411,0.939384,0.008193,-0.333113,0.020147,0.043904,7,-110,-42,10,4,-120,-49,4
0.830137,0.251573,0.845223,0.317534,-1.343767,0.287770,0.000000,-0.359712,0.551559,0.284653,-0.009935,-0.384826,0.558356,0.254164,0.772696,0.392626,-1.277112,0.290211,-0.328894,-0.302398,0.953653,0.024809,-0.286806,0.037462,0.062399,11,-100,-38,14,8,-107,-39,10
0.840093,0.254641,0.845223,0.314466,-1.337631,0.287770,0.000000,-0.335732,0.527578,0.275597,-0.013895,-0.370086,0.534764,0.257071,0.769395,0.389596,-1.267547,0.293618,-0.334303,-0.306302,0.967724,0.028877,-0.270558,0.042518,0.071778,11,-96,-37,16,10,-100,-37,10
0.850139,0.256175,0.846757,0.312932,-1.326893,0.263789,0.000000,-0.335732,0.527578,0.260387,-0.002888,-0.343907,0.563731,0.260038,0.766009,0.386500,-1.257754,0.296985,-0.339747,-0.310183,0.981810,0.044820,-0.332086,0.011891,0.057184,15,-110,-44,13,11,-95,-36,16
0.860089,0.259243,0.846757,0.312932,-1.316156,0.239808,0.000000,-0.311751,0.551559,0.254974,0.003948,-0.300687,0.621916,0.263009,0.762602,0.383394,-1.247916,0.300249,-0.345122,-0.313968,0.995646,0.047609,-0.399716,-0.025639,0.040395,16,-125,-52,9,15,-111,-45,10
0.870124,0.263845,0.846757,0.312932,-1.302350,0.239808,0.000000,-0.263789,0.623501,0.268144,0.007733,-0.250700,0.717520,0.266038,0.759111,0.380225,-1.237856,0.303466,-0.350524,-0.317722,1.009479,0.033982,-0.504197,-0.079718,0.010730,13,-149,-64,2,16,-126,-52,7
