t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,dq1_filt,dq2_filt,dq3_filt,dq4_filt,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,tau1,tau2,tau3,tau4,curr_cmd1,curr_cmd2,curr_cmd3,curr_cmd4,curr_meas1,curr_meas2,curr_meas3,curr_meas4
0.010104,0.151864,0.878971,0.497010,-1.595340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.151864,0.878971,0.497009,-1.595339,0.000095,-0.000084,-0.000093,0.000268,0.000258,-0.681714,-0.204210,-0.131901,0,-171,-68,-39,0,0,0,0
0.020073,0.151864,0.875903,0.495476,-1.596874,0.000000,0.000000,0.000000,0.000000,0.000000,-0.024544,-0.012272,-0.012272,0.151867,0.878969,0.497007,-1.595333,0.000371,-0.000330,-0.000366,0.001052,0.000592,-0.635339,-0.183479,-0.119215,0,-161,-63,-36,0,-170,-64,-37
0.030073,0.150330,0.860563,0.490874,-1.599942,0.000000,-0.047962,0.000000,0.000000,-0.012272,-0.160025,-0.055469,-0.043197,0.151872,0.878964,0.497002,-1.595316,0.000827,-0.000737,-0.000815,0.002345,0.012613,-0.453854,-0.103217,-0.075151,2,-120,-45,-26,0,-159,-61,-34
0.040071,0.148796,0.842155,0.487806,-1.603010,0.000000,-0.191847,-0.047962,-0.047962,-0.030925,-0.375774,-0.101493,-0.082840,0.151884,0.878954,0.496990,-1.595284,0.001456,-0.001300,-0.001437,0.004135,0.026990,-0.228908,-0.007486,-0.021859,5,-69,-24,-14,3,-123,-43,-26
0.050071,0.147262,0.832952,0.486272,-1.606078,-0.023981,-0.383693,-0.095923,-0.095923,-0.051915,-0.548792,-0.133260,-0.124542,0.151902,0.878937,0.496972,-1.595232,0.002255,-0.002018,-0.002227,0.006412,0.042252,-0.074055,0.057730,0.016688,9,-35,-10,-5,3,-76,-26,-15
0.060093,0.148796,0.836020,0.489340,-1.606078,-0.023981,-0.527578,-0.095923,-0.119904,-0.048084,-0.584156,-0.117116,-0.139600,0.151929,0.878913,0.496945,-1.595154,0.003223,-0.002889,-0.003183,0.009174,0.033999,-0.086952,0.046594,0.015216,7,-38,-13,-5,6,-36,-19,-6
0.070103,0.154932,0.842155,0.490874,-1.606078,-0.023981,-0.551559,-0.095923,-0.143885,0.007149,-0.509555,-0.085788,-0.137467,0.151967,0.878879,0.496908,-1.595047,0.004351,-0.003908,-0.004300,0.012399,-0.013806,-0.156534,0.012847,0.001416,-3,-54,-21,-7,7,-36,-3,-8
0.080078,0.158000,0.846757,0.484738,-1.609146,0.000000,-0.527578,-0.119904,-0.167866,0.064261,-0.387214,-0.109216,-0.149733,0.152017,0.878834,0.496859,-1.594905,0.005632,-0.005069,-0.005568,0.016069,-0.047338,-0.172906,0.014930,0.003083,-10,-58,-21,-6,1,-51,-20,-7
0.090075,0.158000,0.846757,0.481670,-1.612214,0.047962,-0.479616,-0.143885,-0.191847,0.093387,-0.282832,-0.139079,-0.169658,0.152080,0.878777,0.496796,-1.594724,0.007069,-0.006376,-0.006991,0.020193,-0.056349,-0.166191,0.021148,0.010385,-12,-57,-21,-4,-12,-56,-21,-5
0.100113,0.158000,0.845223,0.477068,-1.615282,0.071942,-0.359712,-0.143885,-0.191847,0.103391,-0.209849,-0.182686,-0.192584,0.152159,0.878706,0.496718,-1.594499,0.008662,-0.007828,-0.008570,0.024772,-0.058817,-0.131710,0.042062,0.023346,-12,-50,-17,-1,-11,-56,-21,-3
0.110080,0.156466,0.840621,0.477068,-1.612214,0.095923,-0.167866,-0.143885,-0.167866,0.088851,-0.186086,-0.194235,-0.166389,0.152254,0.878620,0.496624,-1.594228,0.010388,-0.009408,-0.010283,0.029745,-0.045137,-0.142319,0.039942,0.015869,-9,-53,-18,-2,-12,-53,-14,-1
0.120075,0.156466,0.839087,0.477068,-1.610680,0.095923,-0.047962,-0.143885,-0.143885,0.073019,-0.169214,-0.185626,-0.125089,0.152367,0.878517,0.496512,-1.593904,0.012260,-0.011126,-0.012141,0.035148,-0.038383,-0.160999,0.032152,0.008801,-8,-57,-21,-2,-9,-55,-18,3
0.130085,0.156466,0.843689,0.475534,-1.610680,0.095923,0.000000,-0.167866,-0.095923,0.057678,-0.108737,-0.177882,-0.090302,0.152500,0.878397,0.496381,-1.593523,0.014271,-0.012979,-0.014139,0.040966,-0.031646,-0.208799,0.014556,-0.001751,-6,-69,-25,-4,-8,-58,-25,1
0.140090,0.156466,0.851359,0.475534,-1.610680,0.071942,0.000000,-0.191847,-0.071942,0.043859,-0.002393,-0.159005,-0.062206,0.152653,0.878257,0.496229,-1.593082,0.016415,-0.014961,-0.016270,0.047179,-0.025241,-0.294868,-0.021800,-0.019614,-5,-89,-34,-8,-5,-68,-25,-1
0.150087,0.156466,0.857495,0.478602,-1.609146,0.023981,0.047962,-0.167866,-0.047962,0.032059,0.110692,-0.110415,-0.028100,0.152828,0.878097,0.496055,-1.592578,0.018686,-0.017067,-0.018530,0.053774,-0.019376,-0.403649,-0.074011,-0.044264,-3,-114,-47,-13,-3,-90,-33,-6
