t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,dq1_filt,dq2_filt,dq3_filt,dq4_filt,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,tau1,tau2,tau3,tau4,curr_cmd1,curr_cmd2,curr_cmd3,curr_cmd4,curr_meas1,curr_meas2,curr_meas3,curr_meas4
0.010143,0.019942,0.874369,0.596719,-1.695049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019942,0.874369,0.596718,-1.695048,0.000110,-0.000084,-0.000105,0.000282,0.000249,-0.645177,-0.168964,-0.131713,0,-163,-60,-39,0,0,0,0
0.020106,0.019942,0.872835,0.596719,-1.696583,0.000000,0.000000,0.000000,0.000000,0.000000,-0.012272,0.000000,-0.012272,0.019945,0.874367,0.596716,-1.695041,0.000431,-0.000329,-0.000411,0.001099,0.000524,-0.640717,-0.167805,-0.130397,0,-162,-60,-39,0,-156,-57,-35
0.030089,0.018408,0.860563,0.593651,-1.696583,0.000000,-0.047962,0.000000,0.000000,-0.012272,-0.116828,-0.024544,-0.018653,0.019951,0.874362,0.596709,-1.695024,0.000958,-0.000733,-0.000915,0.002445,0.004353,-0.607462,-0.157028,-0.122364,0,-160,-59,-38,0,-159,-61,-38
0.040097,0.016874,0.842155,0.589049,-1.698117,0.000000,-0.191847,-0.047962,-0.023981,-0.030925,-0.317478,-0.074122,-0.033262,0.019964,0.874352,0.596697,-1.694991,0.001687,-0.001294,-0.001612,0.004313,0.009233,-0.548385,-0.136238,-0.108415,1,-153,-57,-35,0,-163,-60,-37
0.050129,0.015340,0.828350,0.585981,-1.704253,-0.023981,-0.383693,-0.095923,-0.047962,-0.051915,-0.522916,-0.122483,-0.088453,0.019986,0.874335,0.596676,-1.694936,0.002617,-0.002010,-0.002501,0.006696,0.014508,-0.491219,-0.114752,-0.094760,2,-142,-56,-33,0,-156,-58,-35
0.060083,0.015340,0.823748,0.584447,-1.707321,-0.047962,-0.551559,-0.119904,-0.095923,-0.060355,-0.641161,-0.153973,-0.139035,0.020017,0.874311,0.596646,-1.694855,0.003730,-0.002871,-0.003567,0.009555,0.016215,-0.461555,-0.102384,-0.087787,2,-136,-55,-33,2,-142,-55,-32
0.070127,0.019942,0.822214,0.584447,-1.708855,-0.023981,-0.671463,-0.143885,-0.119904,-0.023776,-0.673087,-0.160549,-0.170534,0.020061,0.874277,0.596604,-1.694743,0.005042,-0.003887,-0.004822,0.012928,0.006075,-0.452818,-0.099150,-0.085516,1,-134,-54,-33,1,-132,-54,-31
0.080154,0.021476,0.817612,0.582913,-1.711923,0.000000,-0.743406,-0.167866,-0.167866,0.012346,-0.675211,-0.163922,-0.200334,0.020119,0.874233,0.596549,-1.694594,0.006535,-0.005048,-0.006253,0.016773,-0.000605,-0.444826,-0.097422,-0.082946,0,-132,-54,-33,0,-130,-52,-32
0.090127,0.023010,0.806874,0.576777,-1.716525,0.000000,-0.815348,-0.215827,-0.215827,0.045303,-0.708372,-0.201920,-0.239003,0.020192,0.874176,0.596479,-1.694406,0.008197,-0.006344,-0.007846,0.021062,-0.006812,-0.420159,-0.088754,-0.076320,-1,-127,-54,-32,1,-129,-52,-30
0.100129,0.023010,0.790000,0.570641,-1.722660,0.023981,-0.863310,-0.239808,-0.287770,0.061453,-0.806589,-0.257652,-0.292171,0.020283,0.874105,0.596392,-1.694172,0.010038,-0.007783,-0.009611,0.025818,-0.008751,-0.375133,-0.072640,-0.065168,-1,-117,-52,-30,0,-129,-53,-31
0.110121,0.023010,0.776194,0.561437,-1.730330,0.047962,-0.887290,-0.287770,-0.335732,0.066227,-0.911438,-0.344111,-0.362058,0.020394,0.874020,0.596286,-1.693889,0.012045,-0.009357,-0.011537,0.031013,-0.008900,-0.328292,-0.053084,-0.053801,-1,-106,-51,-28,0,-119,-54,-27
0.120125,0.023010,0.765456,0.553767,-1.736466,0.071942,-0.887290,-0.359712,-0.383693,0.063793,-0.987336,-0.429816,-0.424113,0.020525,0.873918,0.596160,-1.693550,0.014219,-0.011067,-0.013624,0.036649,-0.007868,-0.290973,-0.036689,-0.044927,-1,-98,-48,-27,0,-104,-54,-30
0.130119,0.023010,0.762388,0.549165,-1.741068,0.071942,-0.911271,-0.431655,-0.431655,0.057229,-0.978431,-0.483670,-0.464232,0.020679,0.873798,0.596013,-1.693154,0.016550,-0.012906,-0.015863,0.042703,-0.006125,-0.281497,-0.031642,-0.042187,-1,-96,-48,-26,0,-95,-48,-27
0.140123,0.023010,0.760854,0.541495,-1.747204,0.071942,-0.911271,-0.503597,-0.479616,0.048713,-0.907086,-0.538647,-0.500252,0.020856,0.873659,0.595843,-1.692695,0.019038,-0.014876,-0.018254,0.049177,-0.004030,-0.282686,-0.030907,-0.041278,-1,-96,-48,-26,0,-95,-43,-24
