t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,tau1,tau2,tau3,tau4
0.000000,0.000186,0.880472,0.332485,-1.295532,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.500000,0.300000,1.500000,0.785398,0.500000,-0.500000,0.000000,0.239079,-0.820000,-0.671009,0.563340
0.010000,0.000186,0.880472,0.332485,-1.295532,0.000000,0.000000,-0.000000,0.000000,0.007854,-0.495000,0.295000,1.500000,0.785359,0.499975,-0.499975,0.000000,0.250905,-0.820000,-0.670865,0.563762
0.020000,0.000186,0.880472,0.332485,-1.295532,0.000000,0.000000,-0.000000,0.000000,0.015707,-0.490001,0.290001,1.500000,0.785241,0.499900,-0.499900,0.000000,0.262707,-0.820000,-0.670721,0.564184
0.030000,0.000186,0.880472,0.332485,-1.295532,0.000000,0.000000,-0.000000,0.000000,0.023558,-0.485002,0.285002,1.500000,0.785045,0.499775,-0.499775,0.000000,0.274482,-0.820000,-0.670578,0.564605
0.040000,0.000186,0.880472,0.332485,-1.295532,0.000000,0.000000,-0.000000,0.000000,0.031408,-0.480005,0.280005,1.500000,0.784770,0.499600,-0.499600,0.000000,0.286230,-0.820000,-0.670435,0.565025
0.050000,0.000186,0.880472,0.332485,-1.295532,0.000000,0.000000,-0.000000,0.000000,0.039254,-0.475010,0.275010,1.500000,0.784417,0.499375,-0.499375,0.000000,0.297949,-0.820000,-0.670293,0.565444
0.060000,0.000186,0.880472,0.332485,-1.295532,0.000000,0.000000,-0.000000,0.000000,0.047096,-0.470018,0.270018,1.500000,0.783985,0.499100,-0.499100,0.000000,0.309638,-0.820000,-0.670151,0.565862
0.070000,0.000248,0.873636,0.327010,-1.263384,0.026061,-0.925857,-1.081876,4.800000,0.054933,-0.465029,0.265029,1.500000,0.783475,0.498776,-0.498776,0.000000,0.315590,-0.820000,-0.621825,0.267802
0.080000,0.000248,0.873636,0.327010,-1.263384,0.026061,-0.925857,-1.081876,4.800000,0.062765,-0.460043,0.260043,1.500000,0.782886,0.498401,-0.498401,0.000000,0.327283,-0.820000,-0.621676,0.268214
0.090000,0.000248,0.873636,0.327010,-1.263384,0.026061,-0.925857,-1.081876,4.800000,0.070590,-0.455061,0.255061,1.500000,0.782219,0.497976,-0.497976,0.000000,0.338942,-0.820000,-0.621528,0.268626
0.100000,0.002079,0.866455,0.309420,-1.215384,0.305674,-0.579929,-2.231548,4.800000,0.078409,-0.450083,0.250083,1.500000,0.781474,0.497502,-0.497502,0.000000,0.273371,-0.820000,-0.408014,0.333719
0.110000,0.002079,0.866455,0.309420,-1.215384,0.305674,-0.579929,-2.231548,4.800000,0.086220,-0.445111,0.245111,1.500000,0.780651,0.496978,-0.496978,0.000000,0.285122,-0.820000,-0.407837,0.334125
0.120000,0.006637,0.862435,0.283898,-1.177228,0.572409,-0.340663,-2.769576,3.579368,0.094022,-0.440144,0.240144,1.500000,0.779750,0.496404,-0.496404,0.000000,0.219754,-0.820000,-0.189629,0.487933
0.130000,0.006637,0.862435,0.283898,-1.177228,0.572409,-0.340663,-2.769576,3.579368,0.101814,-0.435183,0.235183,1.500000,0.778771,0.495781,-0.495781,0.000000,0.231638,-0.820000,-0.189407,0.488335
0.140000,0.006637,0.862435,0.283898,-1.177228,0.572409,-0.340663,-2.769576,3.579368,0.109597,-0.430228,0.230228,1.500000,0.777714,0.495108,-0.495108,0.000000,0.243482,-0.820000,-0.189185,0.488735
0.150000,0.013388,0.857036,0.258368,-1.136656,0.755546,-0.653739,-2.403677,4.160677,0.117368,-0.425281,0.225281,1.500000,0.776579,0.494386,-0.494386,0.000000,0.193029,-0.820000,-0.257628,0.419804
0.160000,0.013388,0.857036,0.258368,-1.136656,0.755546,-0.653739,-2.403677,4.160677,0.125128,-0.420341,0.220341,1.500000,0.775366,0.493614,-0.493614,0.000000,0.204999,-0.820000,-0.257363,0.420200
0.170000,0.013388,0.857036,0.258368,-1.136656,0.755546,-0.653739,-2.403677,4.160677,0.132876,-0.415409,0.215409,1.500000,0.774076,0.492792,-0.492792,0.000000,0.216923,-0.820000,-0.257099,0.420594
0.180000,0.021653,0.847169,0.239822,-1.088814,0.882983,-1.170327,-1.471216,4.800000,0.140609,-0.410485,0.210485,1.500000,0.772709,0.491922,-0.491922,0.000000,0.172543,-0.820000,-0.431371,0.304720
0.190000,0.021653,0.847169,0.239822,-1.088814,0.882983,-1.170327,-1.471216,4.800000,0.148329,-0.405571,0.205571,1.500000,0.771264,0.491002,-0.491002,0.000000,0.184538,-0.820000,-0.431079,0.305107
0.200000,0.021653,0.847169,0.239822,-1.088814,0.882983,-1.170327,-1.471216,4.800000,0.156035,-0.400665,0.200665,1.500000,0.769742,0.490033,-0.490033,0.000000,0.196484,-0.820000,-0.430788,0.305492
0.210000,0.031013,0.834351,0.227223,-1.040814,0.978244,-1.360832,-1.111943,4.800000,0.163724,-0.395770,0.195770,1.500000,0.768144,0.489015,-0.489015,0.000000,0.161470,-0.820000,-0.472249,0.278165
0.220000,0.031013,0.834351,0.227223,-1.040814,0.978244,-1.360832,-1.111943,4.800000,0.171397,-0.390885,0.190885,1.500000,0.766468,0.487949,-0.487949,0.000000,0.173433,-0.820000,-0.471943,0.278542
0.230000,0.031013,0.834351,0.227223,-1.040814,0.978244,-1.360832,-1.111943,4.800000,0.179053,-0.386011,0.186011,1.500000,0.764716,0.486833,-0.486833,0.000000,0.185343,-0.820000,-0.471638,0.278917
0.240000,0.041184,0.822183,0.214304,-1.000602,1.047498,-1.161853,-1.419823,3.842743,0.186691,-0.381149,0.181149,1.500000,0.762887,0.485669,-0.485669,0.000000,0.162052,-0.820000,-0.333247,0.383190
0.250000,0.041184,0.822183,0.214304,-1.000602,1.047498,-1.161853,-1.419823,3.842743,0.194311,-0.376298,0.176298,1.500000,0.760982,0.484456,-0.484456,0.000000,0.173964,-0.820000,-0.332926,0.383557
0.260000,0.041184,0.822183,0.214304,-1.000602,1.047498,-1.161853,-1.419823,3.842743,0.201911,-0.371460,0.171460,1.500000,0.759001,0.483195,-0.483195,0.000000,0.185819,-0.820000,-0.332606,0.383923
0.270000,0.041184,0.822183,0.214304,-1.000602,1.047498,-1.161853,-1.419823,3.842743,0.209490,-0.366634,0.166634,1.500000,0.756944,0.481885,-0.481885,0.000000,0.197616,-0.820000,-0.332288,0.384287
0.280000,0.041184,0.822183,0.214304,-1.000602,1.047498,-1.161853,-1.419823,3.842743,0.217049,-0.361822,0.161822,1.500000,0.754811,0.480528,-0.480528,0.000000,0.209353,-0.820000,-0.331972,0.384649
0.290000,0.051945,0.811349,0.198257,-0.964332,1.098192,-1.043371,-1.734164,3.578166,0.224586,-0.357024,0.157024,1.500000,0.752603,0.479122,-0.479122,0.000000,0.191689,-0.820000,-0.239122,0.428568
0.300000,0.051945,0.811349,0.198257,-0.964332,1.098192,-1.043371,-1.734164,3.578166,0.232101,-0.352240,0.152240,1.500000,0.750320,0.477668,-0.477668,0.000000,0.203430,-0.820000,-0.238785,0.428923
0.310000,0.051945,0.811349,0.198257,-0.964332,1.098192,-1.043371,-1.734164,3.578166,0.239592,-0.347471,0.147471,1.500000,0.747961,0.476167,-0.476167,0.000000,0.215106,-0.820000,-0.238449,0.429277
0.320000,0.051945,0.811349,0.198257,-0.964332,1.098192,-1.043371,-1.734164,3.578166,0.247060,-0.342717,0.142717,1.500000,0.745528,0.474618,-0.474618,0.000000,0.226718,-0.820000,-0.238115,0.429628
0.330000,0.051945,0.811349,0.198257,-0.964332,1.098192,-1.043371,-1.734164,3.578166,0.254503,-0.337978,0.137978,1.500000,0.743020,0.473021,-0.473021,0.000000,0.238263,-0.820000,-0.237782,0.429977
0.340000,0.063282,0.799241,0.182203,-0.920591,1.162039,-1.287106,-1.503698,4.546888,0.261920,-0.333256,0.133256,1.500000,0.740438,0.471377,-0.471377,0.000000,0.209748,-0.820000,-0.329305,0.323550
0.350000,0.063282,0.799241,0.182203,-0.920591,1.162039,-1.287106,-1.503698,4.546888,0.269311,-0.328551,0.128551,1.500000,0.737782,0.469686,-0.469686,0.000000,0.221279,-0.820000,-0.328954,0.323891
0.360000,0.063282,0.799241,0.182203,-0.920591,1.162039,-1.287106,-1.503698,4.546888,0.276676,-0.323863,0.123863,1.500000,0.735052,0.467948,-0.467948,0.000000,0.232740,-0.820000,-0.328605,0.324229
0.370000,0.063282,0.799241,0.182203,-0.920591,1.162039,-1.287106,-1.503698,4.546888,0.284012,-0.319192,0.119192,1.500000,0.732248,0.466164,-0.466164,0.000000,0.244130,-0.820000,-0.328258,0.324566
0.380000,0.063282,0.799241,0.182203,-0.920591,1.162039,-1.287106,-1.503698,4.546888,0.291320,-0.314540,0.114540,1.500000,0.729371,0.464332,-0.464332,0.000000,0.255447,-0.820000,-0.327914,0.324900
0.390000,0.075314,0.784835,0.169870,-0.872720,1.236351,-1.531416,-1.038114,4.800000,0.298599,-0.309906,0.109906,1.500000,0.726422,0.462455,-0.462455,0.000000,0.217494,-0.820000,-0.407538,0.266844
0.400000,0.075314,0.784835,0.169870,-0.872720,1.236351,-1.531416,-1.038114,4.800000,0.305848,-0.305291,0.105291,1.500000,0.723400,0.460530,-0.460530,0.000000,0.228754,-0.820000,-0.407184,0.267168
0.410000,0.075314,0.784835,0.169870,-0.872720,1.236351,-1.531416,-1.038114,4.800000,0.313067,-0.300695,0.100695,1.500000,0.720305,0.458560,-0.458560,0.000000,0.239937,-0.820000,-0.406832,0.267490
0.420000,0.075314,0.784835,0.169870,-0.872720,1.236351,-1.531416,-1.038114,4.800000,0.320254,-0.296120,0.096120,1.500000,0.717138,0.456544,-0.456544,0.000000,0.251042,-0.820000,-0.406482,0.267809
0.430000,0.088197,0.770098,0.159876,-0.831589,1.329642,-1.468516,-0.985207,3.963777,0.327410,-0.291565,0.091565,1.500000,0.713900,0.454483,-0.454483,0.000000,0.208362,-0.820000,-0.338599,0.336703
0.440000,0.088197,0.770098,0.159876,-0.831589,1.329642,-1.468516,-0.985207,3.963777,0.334532,-0.287030,0.087030,1.500000,0.710590,0.452376,-0.452376,0.000000,0.219377,-0.820000,-0.338244,0.337012
0.450000,0.088197,0.770098,0.159876,-0.831589,1.329642,-1.468516,-0.985207,3.963777,0.341621,-0.282517,0.082517,1.500000,0.707210,0.450224,-0.450224,0.000000,0.230310,-0.820000,-0.337892,0.337319
0.460000,0.101948,0.756344,0.148859,-0.796349,1.410842,-1.333488,-1.192056,3.429386,0.348676,-0.278026,0.078026,1.500000,0.703758,0.448026,-0.448026,0.000000,0.193189,-0.820000,-0.247671,0.397034
0.470000,0.101948,0.756344,0.148859,-0.796349,1.410842,-1.333488,-1.192056,3.429386,0.355696,-0.273557,0.073557,1.500000,0.700236,0.445784,-0.445784,0.000000,0.204024,-0.820000,-0.247311,0.397332
0.480000,0.101948,0.756344,0.148859,-0.796349,1.410842,-1.333488,-1.192056,3.429386,0.362681,-0.269110,0.069110,1.500000,0.696644,0.443497,-0.443497,0.000000,0.214773,-0.820000,-0.246954,0.397628
0.490000,0.116373,0.742223,0.137138,-0.756856,1.467852,-1.443585,-1.140678,4.054220,0.369629,-0.264687,0.064687,1.500000,0.692983,0.441166,-0.441166,0.000000,0.180643,-0.820000,-0.288087,0.333205
0.500000,0.116373,0.742223,0.137138,-0.756856,1.467852,-1.443585,-1.140678,4.054220,0.376540,-0.260287,0.060287,1.500000,0.689252,0.438791,-0.438791,0.000000,0.191285,-0.820000,-0.287723,0.333491
0.510000,0.116373,0.742223,0.137138,-0.756856,1.467852,-1.443585,-1.140678,4.054220,0.383414,-0.255911,0.055911,1.500000,0.685452,0.436372,-0.436372,0.000000,0.201838,-0.820000,-0.287362,0.333775
0.520000,0.131285,0.726430,0.127567,-0.711859,1.510453,-1.653294,-0.812867,4.589071,0.390249,-0.251560,0.051560,1.500000,0.681584,0.433910,-0.433910,0.000000,0.166386,-0.820000,-0.369482,0.257480
0.530000,0.131285,0.726430,0.127567,-0.711859,1.510453,-1.653294,-0.812867,4.589071,0.397045,-0.247233,0.047233,1.500000,0.677647,0.431404,-0.431404,0.000000,0.176806,-0.820000,-0.369120,0.257752
0.540000,0.131285,0.726430,0.127567,-0.711859,1.510453,-1.653294,-0.812867,4.589071,0.403801,-0.242932,0.042932,1.500000,0.673643,0.428854,-0.428854,0.000000,0.187133,-0.820000,-0.368760,0.258022
0.550000,0.146571,0.710057,0.120414,-0.670909,1.543486,-1.648443,-0.663743,3.996357,0.410518,-0.238656,0.038656,1.500000,0.669571,0.426262,-0.426262,0.000000,0.156025,-0.820000,-0.337372,0.297095
0.560000,0.146571,0.710057,0.120414,-0.670909,1.543486,-1.648443,-0.663743,3.996357,0.417193,-0.234407,0.034407,1.500000,0.665433,0.423628,-0.423628,0.000000,0.166192,-0.820000,-0.337015,0.297353
0.570000,0.146571,0.710057,0.120414,-0.670909,1.543486,-1.648443,-0.663743,3.996357,0.423826,-0.230184,0.030184,1.500000,0.661227,0.420950,-0.420950,0.000000,0.176262,-0.820000,-0.336663,0.297609
0.580000,0.162120,0.694524,0.113124,-0.636719,1.563687,-1.513005,-0.796025,3.303438,0.430417,-0.225988,0.025988,1.500000,0.656956,0.418231,-0.418231,0.000000,0.153241,-0.820000,-0.249630,0.366170
0.590000,0.162120,0.694524,0.113124,-0.636719,1.563687,-1.513005,-0.796025,3.303438,0.436965,-0.221819,0.021819,1.500000,0.652619,0.415470,-0.415470,0.000000,0.163140,-0.820000,-0.249279,0.366416
0.600000,0.162120,0.694524,0.113124,-0.636719,1.563687,-1.513005,-0.796025,3.303438,0.443469,-0.217679,0.017679,1.500000,0.648217,0.412668,-0.412668,0.000000,0.172940,-0.820000,-0.248931,0.366659
0.610000,0.177811,0.679127,0.104905,-0.600764,1.573565,-1.547628,-0.823562,3.648373,0.449929,-0.213566,0.013566,1.500000,0.643750,0.409824,-0.409824,0.000000,0.150992,-0.820000,-0.258827,0.333021
0.620000,0.177811,0.679127,0.104905,-0.600764,1.573565,-1.547628,-0.823562,3.648373,0.456344,-0.209482,0.009482,1.500000,0.639219,0.406939,-0.406939,0.000000,0.160615,-0.820000,-0.258481,0.333254
0.630000,0.177811,0.679127,0.104905,-0.600764,1.573565,-1.547628,-0.823562,3.648373,0.462713,-0.205428,0.005428,1.500000,0.634623,0.404014,-0.404014,0.000000,0.170135,-0.820000,-0.258138,0.333485
0.640000,0.193592,0.662470,0.097972,-0.559218,1.582321,-1.728411,-0.575353,4.250760,0.469036,-0.201402,0.001402,1.500000,0.629965,0.401048,-0.401048,0.000000,0.143175,-0.820000,-0.334753,0.256297
0.650000,0.193592,0.662470,0.097972,-0.559218,1.582321,-1.728411,-0.575353,4.250760,0.475312,-0.197407,-0.002593,1.500000,0.625243,0.398042,-0.398042,0.000000,0.152499,-0.820000,-0.334416,0.256516
0.660000,0.193592,0.662470,0.097972,-0.559218,1.582321,-1.728411,-0.575353,4.250760,0.481541,-0.193442,-0.006558,1.500000,0.620458,0.394996,-0.394996,0.000000,0.161717,-0.820000,-0.334082,0.256732
0.670000,0.209467,0.644954,0.093481,-0.519318,1.592295,-1.778043,-0.373152,3.944104,0.487721,-0.189507,-0.010493,1.500000,0.615612,0.391911,-0.391911,0.000000,0.134701,-0.820000,-0.333958,0.265693
0.680000,0.209467,0.644954,0.093481,-0.519318,1.592295,-1.778043,-0.373152,3.944104,0.493853,-0.185603,-0.014397,1.500000,0.610704,0.388786,-0.388786,0.000000,0.143700,-0.820000,-0.333633,0.265897
0.690000,0.209467,0.644954,0.093481,-0.519318,1.592295,-1.778043,-0.373152,3.944104,0.499935,-0.181731,-0.018269,1.500000,0.605735,0.385623,-0.385623,0.000000,0.152591,-0.820000,-0.333313,0.266099
0.700000,0.225417,0.627932,0.089591,-0.485645,1.596960,-1.671525,-0.430838,3.260336,0.505967,-0.177891,-0.022109,1.500000,0.600706,0.382421,-0.382421,0.000000,0.131541,-0.820000,-0.260163,0.328374
0.710000,0.225417,0.627932,0.089591,-0.485645,1.596960,-1.671525,-0.430838,3.260336,0.511949,-0.174083,-0.025917,1.500000,0.595616,0.379181,-0.379181,0.000000,0.140203,-0.820000,-0.259852,0.328565
0.720000,0.241332,0.611336,0.084803,-0.452391,1.587307,-1.650528,-0.504799,3.332784,0.517880,-0.170308,-0.029692,1.500000,0.590467,0.375903,-0.375903,0.000000,0.123815,-0.820000,-0.242439,0.323052
0.730000,0.241332,0.611336,0.084803,-0.452391,1.587307,-1.650528,-0.504799,3.332784,0.523758,-0.166565,-0.033435,1.500000,0.585259,0.372587,-0.372587,0.000000,0.132245,-0.820000,-0.242135,0.323233
0.740000,0.241332,0.611336,0.084803,-0.452391,1.587307,-1.650528,-0.504799,3.332784,0.529584,-0.162856,-0.037144,1.500000,0.579992,0.369234,-0.369234,0.000000,0.140562,-0.820000,-0.241835,0.323411
0.750000,0.257146,0.593967,0.080474,-0.414540,1.577088,-1.783269,-0.350710,3.865507,0.535358,-0.159181,-0.040819,1.500000,0.574667,0.365844,-0.365844,0.000000,0.119959,-0.820000,-0.298790,0.259346
0.760000,0.257146,0.593967,0.080474,-0.414540,1.577088,-1.783269,-0.350710,3.865507,0.541078,-0.155539,-0.044461,1.500000,0.569285,0.362418,-0.362418,0.000000,0.128033,-0.820000,-0.298500,0.259514
0.770000,0.272882,0.575631,0.078244,-0.376418,1.571358,-1.871264,-0.135874,3.807345,0.546743,-0.151932,-0.048068,1.500000,0.563846,0.358955,-0.358955,0.000000,0.105285,-0.820000,-0.319366,0.245203
0.780000,0.272882,0.575631,0.078244,-0.376418,1.571358,-1.871264,-0.135874,3.807345,0.552354,-0.148360,-0.051640,1.500000,0.558350,0.355457,-0.355457,0.000000,0.113101,-0.820000,-0.319088,0.245358
0.790000,0.272882,0.575631,0.078244,-0.376418,1.571358,-1.871264,-0.135874,3.807345,0.557910,-0.144823,-0.055177,1.500000,0.552799,0.351923,-0.351923,0.000000,0.120800,-0.820000,-0.318815,0.245512
0.800000,0.288524,0.557312,0.077241,-0.343104,1.558665,-1.819715,-0.107899,3.250374,0.563410,-0.141322,-0.058678,1.500000,0.547192,0.348353,-0.348353,0.000000,0.104052,-0.820000,-0.268927,0.290586
0.810000,0.288524,0.557312,0.077241,-0.343104,1.558665,-1.819715,-0.107899,3.250374,0.568854,-0.137856,-0.062144,1.500000,0.541531,0.344749,-0.344749,0.000000,0.111484,-0.820000,-0.268667,0.290729
0.820000,0.288524,0.557312,0.077241,-0.343104,1.558665,-1.819715,-0.107899,3.250374,0.574241,-0.134427,-0.065573,1.500000,0.535815,0.341111,-0.341111,0.000000,0.118798,-0.820000,-0.268411,0.290869
0.830000,0.304015,0.539370,0.075810,-0.311640,1.541432,-1.781128,-0.172462,3.124649,0.579570,-0.131034,-0.068966,1.500000,0.530046,0.337438,-0.337438,0.000000,0.104593,-0.820000,-0.236746,0.303268
0.840000,0.304015,0.539370,0.075810,-0.311640,1.541432,-1.781128,-0.172462,3.124649,0.584841,-0.127678,-0.072322,1.500000,0.524224,0.333731,-0.333731,0.000000,0.111637,-0.820000,-0.236502,0.303398
