t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,tau1,tau2,tau3,tau4
0.000000,0.000929,0.909878,0.601298,-1.608282,-0.000588,-0.000113,0.000064,-0.004630,0.000000,0.000000,0.000000,0.000000
0.020000,0.000929,0.909878,0.601298,-1.608264,-0.001528,-0.000348,0.000299,0.011784,0.000000,0.003140,0.000000,0.000000
0.040000,0.000929,0.909875,0.601300,-1.608279,-0.000824,-0.000217,0.000137,-0.004559,0.000000,0.006267,0.000000,0.000000
0.060000,0.000929,0.909876,0.601300,-1.608186,-0.000879,-0.000179,0.000130,-0.003112,0.000000,0.009369,0.000000,0.000000
0.080000,0.000931,0.909876,0.601299,-1.608267,0.001118,0.000172,-0.000095,-0.004863,0.000000,0.012434,0.000000,0.000000
0.100000,0.000929,0.909876,0.601300,-1.608252,-0.001057,-0.000395,0.000132,0.009532,0.000000,0.015451,0.000000,0.000000
0.120000,0.000930,0.909876,0.601299,-1.608271,-0.001109,-0.000165,0.000103,-0.006140,0.000000,0.018406,0.000000,0.000000
0.140000,0.000930,0.909876,0.601299,-1.608282,0.000499,-0.000005,-0.000042,-0.004895,0.000000,0.021289,0.000000,0.000000
0.160000,0.000929,0.909876,0.601299,-1.608262,-0.002495,-0.000513,0.000425,0.012216,0.000000,0.024088,0.000000,0.000000
0.180000,0.000930,0.909877,0.601299,-1.608281,-0.000609,-0.000106,0.000059,-0.004542,0.000000,0.026791,0.000000,0.000000
0.200000,0.000931,0.909877,0.601299,-1.608276,0.000334,-0.000129,0.000134,0.011706,0.000000,0.029389,0.000000,0.000000
0.220000,0.000931,0.909877,0.601299,-1.608282,0.001281,0.000103,-0.000068,-0.005475,0.000000,0.031871,0.000000,0.000000
0.240000,0.000931,0.909877,0.601299,-1.608279,0.001987,0.000165,-0.000022,0.012761,0.000000,0.034227,0.000000,0.000000
0.260000,0.000931,0.909877,0.601299,-1.608279,0.001987,0.000165,-0.000022,0.012761,0.000000,0.036448,0.000000,0.000000
0.280000,0.000931,0.909877,0.601299,-1.608132,0.000778,-0.000436,0.000204,0.160490,0.000000,0.038526,0.000000,0.000000
0.300000,0.000931,0.909878,0.601298,-1.608167,0.000784,0.000022,-0.000043,-0.003286,0.000000,0.040451,0.000000,0.000000
0.320000,0.000931,0.909878,0.601298,-1.608201,0.000797,0.000022,-0.000043,-0.003639,0.000000,0.042216,0.000000,0.000000
0.340000,0.000932,0.909878,0.601298,-1.608257,-0.000432,-0.000094,0.000062,-0.007263,0.000000,0.043815,0.000000,0.000000
0.360000,0.000933,0.909878,0.601298,-1.608260,0.002093,0.000280,-0.000044,0.010964,0.000000,0.045241,0.000000,0.000000
0.380000,0.000931,0.909878,0.601298,-1.608265,0.000395,0.000128,-0.000182,-0.007296,0.000000,0.046489,0.000000,0.000000
0.400000,0.000932,0.909878,0.601298,-1.608273,0.000264,-0.000163,0.000152,0.011463,0.000000,0.047553,0.000000,0.000000
0.420000,0.000931,0.909878,0.601298,-1.608271,-0.000577,-0.000287,0.000089,0.009928,0.000000,0.048429,0.000000,0.000000
0.440000,0.000932,0.909878,0.601298,-1.608276,0.000292,-0.000158,0.000149,0.011613,0.000000,0.049114,0.000000,0.000000
0.460000,0.000931,0.909878,0.601298,-1.608267,-0.001764,-0.000436,0.000364,0.012148,0.000000,0.049606,0.000000,0.000000
0.480000,0.000933,0.909879,0.601298,-1.608148,0.001428,0.000222,-0.000129,-0.003849,0.000000,0.049901,0.000000,0.000000
0.500000,0.000931,0.909878,0.601298,-1.608180,-0.001368,-0.000267,0.000192,-0.002796,0.000000,0.050000,0.000000,0.000000
0.520000,0.000931,0.909878,0.601298,-1.608256,-0.001360,-0.000260,0.000190,-0.003732,0.000000,0.049901,0.000000,0.000000
0.540000,0.000931,0.909878,0.601298,-1.608264,0.000222,0.000017,-0.000150,-0.007083,0.000000,0.049606,0.000000,0.000000
0.560000,0.000931,0.909878,0.601298,-1.608265,0.000441,0.000059,-0.000131,-0.007406,0.000000,0.049114,0.000000,0.000000
0.580000,0.000932,0.909878,0.601298,-1.608282,-0.000585,-0.000114,0.000064,-0.004855,0.000000,0.048429,0.000000,0.000000
0.600000,0.000933,0.909878,0.601298,-1.608277,0.000374,-0.000124,0.000129,0.011308,0.000000,0.047553,0.000000,0.000000
0.620000,0.000932,0.909878,0.601298,-1.608283,-0.000649,-0.000128,0.000076,-0.004772,0.000000,0.046489,0.000000,0.000000
0.640000,0.000932,0.909878,0.601298,-1.608292,-0.000798,-0.000156,0.000099,-0.003922,0.000000,0.045241,0.000000,0.000000
0.660000,0.000932,0.909878,0.601298,-1.608164,-0.000785,-0.000169,0.000122,-0.002852,0.000000,0.043815,0.000000,0.000000
0.680000,0.000932,0.909878,0.601298,-1.608235,-0.000777,-0.000162,0.000127,-0.003642,0.000000,0.042216,0.000000,0.000000
0.700000,0.000933,0.909878,0.601298,-1.608269,0.001719,0.000188,-0.000110,-0.007043,0.000000,0.040451,0.000000,0.000000
0.720000,0.000932,0.909878,0.601299,-1.608264,0.000194,0.000014,-0.000145,-0.006815,0.000000,0.038526,0.000000,0.000000
0.740000,0.000935,0.909878,0.601298,-1.608279,0.001489,0.000277,-0.000176,-0.005795,0.000000,0.036448,0.000000,0.000000
0.760000,0.000934,0.909878,0.601299,-1.608275,0.000300,-0.000170,0.000155,0.011464,0.000000,0.034227,0.000000,0.000000
0.780000,0.000934,0.909878,0.601298,-1.608282,0.001327,0.000216,-0.000111,-0.005833,0.000000,0.031871,0.000000,0.000000
0.800000,0.000933,0.909877,0.601299,-1.608149,-0.000810,-0.000176,0.000121,-0.002922,0.000000,0.029389,0.000000,0.000000
0.820000,0.000933,0.909877,0.601299,-1.608182,-0.000754,-0.000149,0.000112,-0.003093,0.000000,0.026791,0.000000,0.000000
0.840000,0.000934,0.909877,0.601299,-1.608260,0.000662,0.000014,-0.000056,-0.004357,0.000000,0.024088,0.000000,0.000000
0.860000,0.000935,0.909877,0.601299,-1.608256,-0.000390,-0.000081,0.000041,-0.007470,0.000000,0.021289,0.000000,0.000000
0.880000,0.000932,0.909876,0.601300,-1.608266,0.000367,-0.000016,-0.000139,-0.006336,0.000000,0.018406,0.000000,0.000000
0.900000,0.000934,0.909876,0.601299,-1.608284,-0.000928,-0.000221,0.000141,-0.004551,0.000000,0.015451,0.000000,0.000000
0.920000,0.000935,0.909876,0.601300,-1.608278,-0.000533,-0.000122,0.000072,-0.005453,0.000000,0.012434,0.000000,0.000000
0.940000,0.000934,0.909876,0.601300,-1.608284,0.000633,-0.000043,-0.000021,-0.004892,0.000000,0.009369,0.000000,0.000000
0.960000,0.000934,0.909876,0.601300,-1.608276,-0.000361,-0.000157,0.000150,0.011177,0.000000,0.006267,0.000000,0.000000
0.980000,0.000933,0.909875,0.601301,-1.608266,-0.002527,-0.000576,0.000454,0.012761,0.000000,0.003140,0.000000,0.000000
1.000000,0.000935,0.909876,0.601300,-1.608284,0.000472,-0.000010,-0.000056,-0.004369,0.000000,-0.000000,0.000000,0.000000
1.020000,0.000935,0.909875,0.601300,-1.608187,0.000582,-0.000028,-0.000019,-0.003375,0.000000,-0.003140,0.000000,0.000000
1.040000,0.000935,0.909875,0.601300,-1.608225,0.001278,0.000188,-0.000101,-0.004338,0.000000,-0.006267,0.000000,0.000000
1.060000,0.000934,0.909875,0.601301,-1.608247,-0.002805,-0.000688,0.000549,0.011227,0.000000,-0.009369,0.000000,0.000000
1.080000,0.000937,0.909875,0.601301,-1.608262,-0.000488,-0.000108,0.000059,-0.006618,0.000000,-0.012434,0.000000,0.000000
1.100000,0.000935,0.909875,0.601301,-1.608262,-0.000037,0.000029,-0.000119,-0.006961,0.000000,-0.015451,0.000000,0.000000
1.120000,0.000935,0.909874,0.601301,-1.608178,-0.000864,-0.000201,0.000146,-0.003270,0.000000,-0.018406,0.000000,0.000000
1.140000,0.000935,0.909874,0.601301,-1.608262,-0.000851,-0.000186,0.000142,-0.004312,0.000000,-0.021289,0.000000,0.000000
