t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,tau1,tau2,tau3,tau4
0.000000,0.000185,0.909880,0.601232,-1.608215,0.000463,-0.000019,-0.000056,-0.005116,0.000000,0.000000,0.000000,0.000000
0.020000,0.000183,0.909879,0.601232,-1.608202,-0.000749,-0.000339,0.000129,0.010138,0.000000,0.003140,0.000000,0.000000
0.040000,0.000184,0.909879,0.601232,-1.608223,-0.000862,-0.000159,0.000102,-0.004025,0.000000,0.006267,0.000000,0.000000
0.060000,0.000185,0.909880,0.601232,-1.608131,0.000569,-0.000014,-0.000025,-0.003648,0.000000,0.009369,0.000000,0.000000
0.080000,0.000186,0.909880,0.601231,-1.608171,0.001125,0.000164,-0.000092,-0.004569,0.000000,0.012434,0.000000,0.000000
0.100000,0.000183,0.909880,0.601231,-1.608100,-0.001372,-0.000251,0.000183,-0.004278,0.000000,0.015451,0.000000,0.000000
0.120000,0.000185,0.909881,0.601231,-1.608151,-0.000907,-0.000223,0.000173,-0.004919,0.000000,0.018406,0.000000,0.000000
0.140000,0.000183,0.909881,0.601231,-1.608104,-0.001232,-0.000207,0.000175,-0.005598,0.000000,0.021289,0.000000,0.000000
0.160000,0.000185,0.909881,0.601231,-1.608073,0.000753,-0.000001,-0.000067,-0.006676,0.000000,0.024088,0.000000,0.000000
0.180000,0.000185,0.909881,0.601231,-1.608143,-0.000926,-0.000162,0.000160,-0.007036,0.000000,0.026791,0.000000,0.000000
0.200000,0.000185,0.909881,0.601231,-1.608187,0.001305,0.000149,-0.000155,-0.008496,0.000000,0.029389,0.000000,0.000000
0.220000,0.000186,0.909881,0.601231,-1.608187,0.000471,-0.000090,0.000112,0.009254,0.000000,0.031871,0.000000,0.000000
0.240000,0.000185,0.909882,0.601231,-1.608208,0.001461,0.000149,-0.000106,-0.006507,0.000000,0.034227,0.000000,0.000000
0.260000,0.000185,0.909882,0.601231,-1.608214,-0.001125,-0.000176,0.000109,-0.005660,0.000000,0.036448,0.000000,0.000000
0.280000,0.000185,0.909882,0.601231,-1.608220,-0.000699,-0.000152,0.000093,-0.004371,0.000000,0.038526,0.000000,0.000000
0.300000,0.000185,0.909882,0.601231,-1.608213,-0.000405,-0.000187,0.000166,0.010681,0.000000,0.040451,0.000000,0.000000
0.320000,0.000186,0.909882,0.601231,-1.608219,-0.000924,-0.000230,0.000144,-0.004525,0.000000,0.042216,0.000000,0.000000
0.340000,0.000185,0.909882,0.601230,-1.608126,-0.000773,-0.000160,0.000120,-0.003120,0.000000,0.043815,0.000000,0.000000
0.360000,0.000185,0.909882,0.601230,-1.608163,-0.000773,-0.000159,0.000124,-0.003575,0.000000,0.045241,0.000000,0.000000
0.380000,0.000183,0.909882,0.601231,-1.608191,-0.002547,-0.000532,0.000444,0.010823,0.000000,0.046489,0.000000,0.000000
0.400000,0.000186,0.909882,0.601231,-1.608214,-0.000589,-0.000112,0.000065,-0.005090,0.000000,0.047553,0.000000,0.000000
0.420000,0.000185,0.909882,0.601231,-1.608205,0.000216,0.000015,-0.000149,-0.006483,0.000000,0.048429,0.000000,0.000000
0.440000,0.000186,0.909883,0.601230,-1.608219,-0.000578,-0.000111,0.000062,-0.004760,0.000000,0.049114,0.000000,0.000000
0.460000,0.000185,0.909882,0.601230,-1.608208,-0.000566,-0.000292,0.000097,0.009777,0.000000,0.049606,0.000000,0.000000
0.480000,0.000186,0.909883,0.601230,-1.608221,-0.000644,-0.000128,0.000073,-0.004766,0.000000,0.049901,0.000000,0.000000
0.500000,0.000185,0.909883,0.601231,-1.608226,-0.001415,-0.000272,0.000182,-0.003872,0.000000,0.050000,0.000000,0.000000
0.520000,0.000188,0.909883,0.601230,-1.608098,0.001513,0.000247,-0.000136,-0.003778,0.000000,0.049901,0.000000,0.000000
0.540000,0.000188,0.909883,0.601230,-1.608169,0.001531,0.000244,-0.000133,-0.004519,0.000000,0.049606,0.000000,0.000000
0.560000,0.000184,0.909882,0.601230,-1.608195,-0.002464,-0.000569,0.000499,0.011460,0.000000,0.049114,0.000000,0.000000
0.580000,0.000188,0.909883,0.601230,-1.608208,-0.000576,-0.000136,0.000082,-0.006260,0.000000,0.048429,0.000000,0.000000
0.600000,0.000187,0.909883,0.601231,-1.608217,-0.000594,-0.000116,0.000068,-0.005102,0.000000,0.047553,0.000000,0.000000
0.620000,0.000188,0.909883,0.601230,-1.608211,0.000267,-0.000160,0.000149,0.011546,0.000000,0.046489,0.000000,0.000000
0.640000,0.000187,0.909883,0.601231,-1.608209,0.000216,0.000083,-0.000129,-0.006786,0.000000,0.045241,0.000000,0.000000
0.660000,0.000187,0.909882,0.601231,-1.608227,-0.000965,-0.000223,0.000148,-0.003760,0.000000,0.043815,0.000000,0.000000
0.680000,0.000188,0.909882,0.601230,-1.608110,0.000775,0.000020,-0.000044,-0.003380,0.000000,0.042216,0.000000,0.000000
0.700000,0.000188,0.909882,0.601230,-1.608146,0.000803,0.000018,-0.000044,-0.003773,0.000000,0.040451,0.000000,0.000000
0.720000,0.000188,0.909882,0.601230,-1.608067,0.000724,-0.000034,-0.000027,-0.004508,0.000000,0.038526,0.000000,0.000000
0.740000,0.000188,0.909882,0.601230,-1.608114,0.000801,0.000021,-0.000058,-0.004860,0.000000,0.036448,0.000000,0.000000
0.760000,0.000189,0.909882,0.601231,-1.608059,0.000769,-0.000007,-0.000050,-0.005710,0.000000,0.034227,0.000000,0.000000
0.780000,0.000189,0.909882,0.601231,-1.608152,0.001744,0.000303,-0.000076,0.008606,0.000000,0.031871,0.000000,0.000000
0.800000,0.000191,0.909882,0.601231,-1.608180,-0.000649,-0.000264,0.000070,-0.008815,0.000000,0.029389,0.000000,0.000000
0.820000,0.000191,0.909882,0.601231,-1.608199,-0.000728,-0.000313,0.000130,-0.006501,0.000000,0.026791,0.000000,0.000000
0.840000,0.000188,0.909881,0.601231,-1.608212,-0.000627,-0.000109,0.000068,-0.005533,0.000000,0.024088,0.000000,0.000000
0.860000,0.000189,0.909881,0.601232,-1.608212,-0.001153,-0.000181,0.000121,-0.005610,0.000000,0.021289,0.000000,0.000000
0.880000,0.000189,0.909881,0.601232,-1.608207,0.000119,0.000053,-0.000119,-0.006615,0.000000,0.018406,0.000000,0.000000
0.900000,0.000189,0.909881,0.601232,-1.608211,-0.000427,-0.000179,0.000159,0.010949,0.000000,0.015451,0.000000,0.000000
0.920000,0.000188,0.909880,0.601232,-1.608201,-0.002383,-0.000492,0.000408,0.012514,0.000000,0.012434,0.000000,0.000000
0.940000,0.000189,0.909880,0.601232,-1.608221,-0.000662,-0.000124,0.000076,-0.004248,0.000000,0.009369,0.000000,0.000000
0.960000,0.000190,0.909880,0.601232,-1.608222,-0.000947,-0.000237,0.000154,-0.003995,0.000000,0.006267,0.000000,0.000000
0.980000,0.000191,0.909880,0.601232,-1.608073,0.001246,0.000746,-0.000402,-0.005544,0.000000,0.003140,0.000000,0.000000
1.000000,0.000190,0.909880,0.601232,-1.608139,0.000395,-0.000024,-0.000027,-0.003550,0.000000,-0.000000,0.000000,0.000000
1.020000,0.000191,0.909880,0.601233,-1.608196,0.000696,-0.000035,-0.000038,-0.006580,0.000000,-0.003140,0.000000,0.000000
1.040000,0.000191,0.909880,0.601233,-1.608196,0.000255,-0.000246,0.000209,0.010833,0.000000,-0.006267,0.000000,0.000000
1.060000,0.000188,0.909879,0.601233,-1.608199,0.000194,-0.000001,-0.000113,-0.006962,0.000000,-0.009369,0.000000,0.000000
1.080000,0.000191,0.909879,0.601233,-1.608209,-0.000588,-0.000134,0.000077,-0.005700,0.000000,-0.012434,0.000000,0.000000
1.100000,0.000190,0.909879,0.601234,-1.608196,-0.001919,-0.000467,0.000385,0.012274,0.000000,-0.015451,0.000000,0.000000
1.120000,0.000191,0.909879,0.601233,-1.608217,0.001165,0.000215,-0.000131,-0.005535,0.000000,-0.018406,0.000000,0.000000
1.140000,0.000190,0.909878,0.601234,-1.608219,0.000433,-0.000030,-0.000039,-0.004473,0.000000,-0.021289,0.000000,0.000000
1.160000,0.000190,0.909878,0.601234,-1.608204,-0.000086,0.000000,-0.000086,-0.006466,0.000000,-0.024088,0.000000,0.000000
1.180000,0.000189,0.909878,0.601234,-1.608205,-0.000038,0.000013,-0.000092,-0.006325,0.000000,-0.026791,0.000000,0.000000
1.200000,0.000191,0.909878,0.601234,-1.608222,0.000878,0.000129,-0.000086,-0.004438,0.000000,-0.029389,0.000000,0.000000
1.220000,0.000191,0.909878,0.601234,-1.608082,0.000275,-0.000052,-0.000019,-0.003103,0.000000,-0.031871,0.000000,0.000000
1.240000,0.000191,0.909878,0.601234,-1.608151,0.000348,-0.000045,-0.000008,-0.003704,0.000000,-0.034227,0.000000,0.000000
1.260000,0.000191,0.909878,0.601234,-1.608192,0.000354,-0.000045,-0.000011,-0.004204,0.000000,-0.036448,0.000000,0.000000
1.280000,0.000192,0.909877,0.601234,-1.608205,0.001056,0.000189,-0.000122,-0.006400,0.000000,-0.038526,0.000000,0.000000
1.300000,0.000191,0.909877,0.601234,-1.608206,0.001005,0.000130,-0.000066,-0.006334,0.000000,-0.040451,0.000000,0.000000
1.320000,0.000191,0.909877,0.601235,-1.608217,-0.000936,-0.000214,0.000137,-0.004317,0.000000,-0.042216,0.000000,0.000000
1.340000,0.000193,0.909877,0.601235,-1.608205,0.001631,0.000185,-0.000012,0.012141,0.000000,-0.043815,0.000000,0.000000
1.360000,0.000191,0.909877,0.601235,-1.608207,0.000766,0.000025,-0.000058,-0.005725,0.000000,-0.045241,0.000000,0.000000
1.380000,0.000192,0.909877,0.601235,-1.608116,0.000267,-0.000058,0.000004,-0.003350,0.000000,-0.046489,0.000000,0.000000
1.400000,0.000192,0.909877,0.601234,-1.608154,0.000744,0.000092,-0.000047,-0.004171,0.000000,-0.047553,0.000000,0.000000
1.420000,0.000191,0.909877,0.601235,-1.608079,-0.000773,-0.000147,0.000085,-0.004278,0.000000,-0.048429,0.000000,0.000000
1.440000,0.000190,0.909876,0.601235,-1.608167,-0.001938,-0.000506,0.000482,0.009639,0.000000,-0.049114,0.000000,0.000000
1.460000,0.000190,0.909876,0.601235,-1.608181,0.000501,0.000165,-0.000050,-0.008637,0.000000,-0.049606,0.000000,0.000000
1.480000,0.000191,0.909876,0.601235,-1.608191,0.000395,0.000116,-0.000118,-0.007877,0.000000,-0.049901,0.000000,0.000000
1.500000,0.000190,0.909876,0.601235,-1.608192,-0.001098,-0.000374,0.000147,0.009760,0.000000,-0.050000,0.000000,0.000000
1.520000,0.000192,0.909876,0.601235,-1.608203,-0.000939,-0.000115,0.000059,-0.005942,0.000000,-0.049901,0.000000,0.000000
1.540000,0.000190,0.909876,0.601235,-1.608202,-0.000068,-0.000080,-0.000054,-0.005859,0.000000,-0.049606,0.000000,0.000000
1.560000,0.000192,0.909876,0.601235,-1.608220,0.000182,-0.000065,-0.000014,-0.004052,0.000000,-0.049114,0.000000,0.000000
1.580000,0.000192,0.909876,0.601235,-1.608102,-0.000876,-0.000192,0.000136,-0.002963,0.000000,-0.048429,0.000000,0.000000
1.600000,0.000192,0.909876,0.601235,-1.608138,0.000264,-0.000065,0.000008,-0.003603,0.000000,-0.047553,0.000000,0.000000
1.620000,0.000192,0.909877,0.601235,-1.608060,0.000353,-0.000104,0.000017,-0.004362,0.000000,-0.046489,0.000000,0.000000
1.640000,0.000193,0.909877,0.601234,-1.608108,0.000736,0.000091,-0.000056,-0.005087,0.000000,-0.045241,0.000000,0.000000
1.660000,0.000194,0.909877,0.601234,-1.608168,0.002370,0.000379,-0.000037,0.008470,0.000000,-0.043815,0.000000,0.000000
1.680000,0.000194,0.909877,0.601235,-1.608179,0.002453,0.000451,-0.000113,0.009737,0.000000,-0.042216,0.000000,0.000000
1.700000,0.000193,0.909877,0.601235,-1.608205,0.000973,0.000124,-0.000072,-0.006476,0.000000,-0.040451,0.000000,0.000000
1.720000,0.000195,0.909877,0.601235,-1.608202,0.002223,0.000358,-0.000072,0.012027,0.000000,-0.038526,0.000000,0.000000
1.740000,0.000193,0.909877,0.601235,-1.608206,0.000749,0.000032,-0.000067,-0.005863,0.000000,-0.036448,0.000000,0.000000
1.760000,0.000194,0.909877,0.601234,-1.608118,0.000910,0.000125,-0.000066,-0.003922,0.000000,-0.034227,0.000000,0.000000
1.780000,0.000193,0.909877,0.601234,-1.608156,-0.000920,-0.000210,0.000151,-0.003647,0.000000,-0.031871,0.000000,0.000000
1.800000,0.000194,0.909878,0.601234,-1.608084,0.000939,0.000134,-0.000078,-0.005046,0.000000,-0.029389,0.000000,0.000000
1.820000,0.000193,0.909878,0.601234,-1.608160,0.001494,0.000227,-0.000027,0.009909,0.000000,-0.026791,0.000000,0.000000
1.840000,0.000195,0.909878,0.601234,-1.608176,0.002463,0.000396,-0.000067,0.008978,0.000000,-0.024088,0.000000,0.000000
1.860000,0.000194,0.909878,0.601234,-1.608203,0.001002,0.000172,-0.000118,-0.006644,0.000000,-0.021289,0.000000,0.000000
1.880000,0.000191,0.909878,0.601234,-1.608197,0.000008,-0.000054,-0.000094,-0.006584,0.000000,-0.018406,0.000000,0.000000
1.900000,0.000194,0.909878,0.601234,-1.608211,0.001112,0.000209,-0.000138,-0.005775,0.000000,-0.015451,0.000000,0.000000
1.920000,0.000194,0.909879,0.601234,-1.608217,0.001161,0.000212,-0.000126,-0.005577,0.000000,-0.012434,0.000000,0.000000
1.940000,0.000192,0.909878,0.601234,-1.608204,-0.001797,-0.000279,0.000189,-0.006031,0.000000,-0.009369,0.000000,0.000000
1.960000,0.000193,0.909879,0.601233,-1.608117,-0.000902,-0.000174,0.000127,-0.003107,0.000000,-0.006267,0.000000,0.000000
1.980000,0.000193,0.909879,0.601233,-1.608154,-0.000905,-0.000175,0.000132,-0.003554,0.000000,-0.003140,0.000000,0.000000
2.000000,0.000194,0.909879,0.601233,-1.608198,-0.001003,-0.000131,0.000091,-0.006955,0.000000,0.000000,0.000000,0.000000
2.020000,0.000196,0.909880,0.601233,-1.608204,0.001798,0.000215,0.000007,0.011371,0.000000,0.003140,0.000000,0.000000
2.040000,0.000195,0.909880,0.601233,-1.608214,0.001278,0.000223,-0.000125,-0.005896,0.000000,0.006267,0.000000,0.000000
2.060000,0.000194,0.909880,0.601233,-1.608224,0.000422,-0.000014,-0.000029,-0.004410,0.000000,0.009369,0.000000,0.000000
2.080000,0.000195,0.909880,0.601233,-1.608212,0.000930,0.000084,-0.000080,-0.005938,0.000000,0.012434,0.000000,0.000000
2.100000,0.000194,0.909880,0.601233,-1.608218,-0.000861,-0.000201,0.000124,-0.004529,0.000000,0.015451,0.000000,0.000000
2.120000,0.000195,0.909881,0.601232,-1.608125,-0.000920,-0.000240,0.000172,-0.002997,0.000000,0.018406,0.000000,0.000000
2.140000,0.000196,0.909881,0.601232,-1.608163,0.001192,0.000182,-0.000093,-0.004387,0.000000,0.021289,0.000000,0.000000
2.160000,0.000193,0.909881,0.601232,-1.608192,-0.000052,-0.000016,-0.000124,-0.007549,0.000000,0.024088,0.000000,0.000000
2.180000,0.000195,0.909881,0.601232,-1.608206,-0.001696,-0.000399,0.000262,-0.005275,0.000000,0.026791,0.000000,0.000000
2.200000,0.000193,0.909881,0.601233,-1.608206,0.000381,-0.000002,-0.000153,-0.006126,0.000000,0.029389,0.000000,0.000000
2.220000,0.000195,0.909881,0.601232,-1.608212,-0.001164,-0.000184,0.000123,-0.005506,0.000000,0.031871,0.000000,0.000000
2.240000,0.000194,0.909881,0.601232,-1.608207,0.000314,0.000072,-0.000141,-0.006737,0.000000,0.034227,0.000000,0.000000
2.260000,0.000195,0.909882,0.601232,-1.608220,-0.000909,-0.000223,0.000139,-0.004562,0.000000,0.036448,0.000000,0.000000
2.280000,0.000195,0.909882,0.601232,-1.608093,-0.000772,-0.000158,0.000112,-0.002899,0.000000,0.038526,0.000000,0.000000
2.300000,0.000195,0.909882,0.601231,-1.608164,-0.000763,-0.000150,0.000117,-0.003615,0.000000,0.040451,0.000000,0.000000
2.320000,0.000195,0.909882,0.601231,-1.608207,-0.000764,-0.000148,0.000121,-0.004143,0.000000,0.042216,0.000000,0.000000
2.340000,0.000197,0.909882,0.601231,-1.608206,-0.000553,-0.000128,0.000076,-0.006272,0.000000,0.043815,0.000000,0.000000
2.360000,0.000195,0.909882,0.601232,-1.608205,0.000360,0.000057,-0.000153,-0.006929,0.000000,0.045241,0.000000,0.000000
2.380000,0.000197,0.909882,0.601231,-1.608210,0.000299,-0.000149,0.000141,0.011536,0.000000,0.046489,0.000000,0.000000
2.400000,0.000195,0.909882,0.601231,-1.608209,-0.000560,-0.000301,0.000109,0.009681,0.000000,0.047553,0.000000,0.000000
2.420000,0.000197,0.909883,0.601231,-1.608228,0.000655,0.000060,-0.000084,-0.004367,0.000000,0.048429,0.000000,0.000000
2.440000,0.000197,0.909883,0.601231,-1.608134,0.000816,0.000025,-0.000046,-0.003656,0.000000,0.049114,0.000000,0.000000
2.460000,0.000197,0.909883,0.601231,-1.608173,0.000817,0.000023,-0.000051,-0.004119,0.000000,0.049606,0.000000,0.000000
2.480000,0.000197,0.909883,0.601231,-1.608099,0.000823,0.000026,-0.000058,-0.004743,0.000000,0.049901,0.000000,0.000000
2.500000,0.000198,0.909883,0.601231,-1.608179,-0.000448,-0.000100,0.000070,-0.008619,0.000000,0.050000,0.000000,0.000000
2.520000,0.000196,0.909882,0.601231,-1.608185,-0.000506,-0.000317,0.000129,0.006876,0.000000,0.049901,0.000000,0.000000
2.540000,0.000197,0.909883,0.601231,-1.608200,0.000214,0.000083,-0.000135,-0.007849,0.000000,0.049606,0.000000,0.000000
2.560000,0.000198,0.909883,0.601231,-1.608208,0.002149,0.000185,-0.000034,0.011768,0.000000,0.049114,0.000000,0.000000
2.580000,0.000196,0.909882,0.601231,-1.608208,0.000444,0.000058,-0.000120,-0.006888,0.000000,0.048429,0.000000,0.000000
2.600000,0.000197,0.909882,0.601231,-1.608221,-0.000644,-0.000128,0.000074,-0.004821,0.000000,0.047553,0.000000,0.000000
2.620000,0.000196,0.909882,0.601231,-1.608211,0.000450,0.000055,-0.000102,-0.006689,0.000000,0.046489,0.000000,0.000000
2.640000,0.000196,0.909882,0.601231,-1.608222,-0.000751,-0.000140,0.000077,-0.004843,0.000000,0.045241,0.000000,0.000000
2.660000,0.000197,0.909882,0.601231,-1.608095,-0.000787,-0.000170,0.000121,-0.002827,0.000000,0.043815,0.000000,0.000000
2.680000,0.000197,0.909882,0.601231,-1.608165,-0.000777,-0.000163,0.000126,-0.003516,0.000000,0.042216,0.000000,0.000000
2.700000,0.000195,0.909882,0.601232,-1.608191,-0.002539,-0.000532,0.000443,0.010902,0.000000,0.040451,0.000000,0.000000
2.720000,0.000200,0.909882,0.601232,-1.608204,0.000266,-0.000291,0.000237,0.011287,0.000000,0.038526,0.000000,0.000000
2.740000,0.000196,0.909882,0.601232,-1.608208,0.000453,0.000059,-0.000141,-0.006655,0.000000,0.036448,0.000000,0.000000
2.760000,0.000198,0.909882,0.601232,-1.608215,-0.001217,-0.000200,0.000134,-0.005457,0.000000,0.034227,0.000000,0.000000
2.780000,0.000198,0.909882,0.601232,-1.608208,0.000067,0.000043,-0.000109,-0.006681,0.000000,0.031871,0.000000,0.000000
2.800000,0.000199,0.909882,0.601232,-1.608226,0.000510,0.000008,-0.000068,-0.004534,0.000000,0.029389,0.000000,0.000000
2.820000,0.000198,0.909881,0.601232,-1.608203,-0.001724,-0.000414,0.000345,0.012103,0.000000,0.026791,0.000000,0.000000
2.840000,0.000199,0.909881,0.601232,-1.608084,0.000684,-0.000037,-0.000011,-0.003226,0.000000,0.024088,0.000000,0.000000
2.860000,0.000197,0.909881,0.601232,-1.608151,-0.001418,-0.000276,0.000203,-0.003182,0.000000,0.021289,0.000000,0.000000
2.880000,0.000199,0.909881,0.601232,-1.608192,0.000759,0.000005,-0.000039,-0.004248,0.000000,0.018406,0.000000,0.000000
2.900000,0.000200,0.909881,0.601232,-1.608211,0.001211,0.000223,-0.000115,-0.006932,0.000000,0.015451,0.000000,0.000000
2.920000,0.000198,0.909881,0.601233,-1.608208,0.000809,0.000216,-0.000169,-0.006818,0.000000,0.012434,0.000000,0.000000
2.940000,0.000197,0.909880,0.601233,-1.608197,-0.002175,-0.000441,0.000378,0.011801,0.000000,0.009369,0.000000,0.000000
2.960000,0.000196,0.909880,0.601233,-1.608210,0.000306,0.000012,-0.000117,-0.006089,0.000000,0.006267,0.000000,0.000000
2.980000,0.000198,0.909880,0.601233,-1.608198,-0.001902,-0.000463,0.000378,0.011961,0.000000,0.003140,0.000000,0.000000
3.000000,0.000199,0.909880,0.601233,-1.608091,0.000507,-0.000002,-0.000036,-0.003236,0.000000,-0.000000,0.000000,0.000000
3.020000,0.000198,0.909880,0.601233,-1.608124,-0.001359,-0.000252,0.000184,-0.002997,0.000000,-0.003140,0.000000,0.000000
3.040000,0.000198,0.909879,0.601233,-1.608204,0.000580,-0.000105,-0.000002,-0.004223,0.000000,-0.006267,0.000000,0.000000
3.060000,0.000200,0.909880,0.601233,-1.608088,0.001064,0.000163,-0.000110,-0.004969,0.000000,-0.009369,0.000000,0.000000
3.080000,0.000199,0.909879,0.601234,-1.608176,-0.000935,-0.000364,0.000158,0.008202,0.000000,-0.012434,0.000000,0.000000
3.100000,0.000200,0.909879,0.601234,-1.608192,0.001198,0.000155,-0.000104,-0.007836,0.000000,-0.015451,0.000000,0.000000
3.120000,0.000200,0.909879,0.601234,-1.608207,0.001185,0.000206,-0.000117,-0.006614,0.000000,-0.018406,0.000000,0.000000
3.140000,0.000200,0.909879,0.601234,-1.608204,0.000876,0.000052,-0.000055,-0.006450,0.000000,-0.021289,0.000000,0.000000
3.160000,0.000200,0.909878,0.601234,-1.608217,0.000445,-0.000028,-0.000034,-0.004724,0.000000,-0.024088,0.000000,0.000000
3.180000,0.000200,0.909878,0.601235,-1.608220,-0.000827,-0.000183,0.000116,-0.004029,0.000000,-0.026791,0.000000,0.000000
3.200000,0.000198,0.909878,0.601235,-1.608205,-0.000042,0.000016,-0.000097,-0.006407,0.000000,-0.029389,0.000000,0.000000
3.220000,0.000200,0.909878,0.601235,-1.608209,0.000797,0.000044,-0.000064,-0.005752,0.000000,-0.031871,0.000000,0.000000
3.240000,0.000202,0.909878,0.601235,-1.608208,0.001662,0.000191,-0.000015,0.012349,0.000000,-0.034227,0.000000,0.000000
3.260000,0.000202,0.909878,0.601235,-1.608208,0.001658,0.000190,-0.000015,0.012298,0.000000,-0.036448,0.000000,0.000000
3.280000,0.000200,0.909877,0.601235,-1.608224,-0.000877,-0.000188,0.000123,-0.003719,0.000000,-0.038526,0.000000,0.000000
3.300000,0.000200,0.909877,0.601235,-1.608095,-0.000806,-0.000178,0.000125,-0.002855,0.000000,-0.040451,0.000000,0.000000
3.320000,0.000200,0.909877,0.601235,-1.608167,0.000467,-0.000053,0.000002,-0.003896,0.000000,-0.042216,0.000000,0.000000
3.340000,0.000202,0.909877,0.601235,-1.608181,0.001834,0.000428,-0.000161,0.011237,0.000000,-0.043815,0.000000,0.000000
3.360000,0.000200,0.909876,0.601236,-1.608199,0.000395,0.000124,-0.000122,-0.007179,0.000000,-0.045241,0.000000,0.000000
3.380000,0.000200,0.909876,0.601236,-1.608197,-0.000027,0.000059,-0.000050,-0.007298,0.000000,-0.046489,0.000000,0.000000
