t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,tau1,tau2,tau3,tau4
0.000000,-0.000095,0.909688,0.604368,-1.611142,0.001505,0.000135,-0.000094,-0.006049,0.000000,-0.500000,0.300000,1.500000,0.785398,0.500000,-0.500000,0.000000,0.195805,-2.244768,-0.695384,0.611348
0.010000,-0.000096,0.909687,0.604368,-1.611127,-0.002004,-0.000404,0.000341,0.012149,0.007854,-0.495000,0.295000,1.500000,0.785359,0.499975,-0.499975,0.000000,0.206381,-2.241510,-0.697625,0.609820
0.020000,0.001252,0.897188,0.602231,-1.574168,0.241594,-1.745838,-0.560647,5.428578,0.015707,-0.490001,0.290001,1.500000,0.785241,0.499900,-0.499900,0.000000,0.157149,-1.924185,-0.651395,0.277082
0.030000,0.004924,0.881717,0.587682,-1.530502,0.462805,-1.697548,-1.995408,5.659640,0.023558,-0.485002,0.285002,1.500000,0.785045,0.499775,-0.499775,0.000000,0.116539,-1.626126,-0.304119,0.380518
0.040000,0.010223,0.867239,0.562241,-1.492991,0.580673,-1.471846,-2.868092,3.818323,0.031408,-0.480005,0.280005,1.500000,0.784770,0.499600,-0.499600,0.000000,0.097884,-1.280973,0.077183,0.639605
0.050000,0.016291,0.849220,0.536979,-1.448915,0.627595,-2.024411,-2.292365,4.689576,0.039254,-0.475010,0.275010,1.500000,0.784417,0.499375,-0.499375,0.000000,0.088463,-1.231123,-0.003119,0.551830
0.060000,0.016291,0.849220,0.536979,-1.448915,0.627595,-2.024411,-2.292365,4.689576,0.047096,-0.470018,0.270018,1.500000,0.783985,0.499100,-0.499100,0.000000,0.098656,-1.225741,-0.003363,0.552242
0.070000,0.022688,0.824937,0.522911,-1.404774,0.650824,-2.599577,-0.804187,3.284988,0.054933,-0.465029,0.265029,1.500000,0.783475,0.498776,-0.498776,0.000000,0.086690,-1.082287,-0.079938,0.619096
0.080000,0.029286,0.794671,0.519429,-1.359605,0.667724,-3.242596,-0.050243,4.686852,0.062765,-0.460043,0.260043,1.500000,0.782886,0.498401,-0.498401,0.000000,0.079990,-1.071353,-0.237934,0.462414
0.090000,0.036133,0.760502,0.521516,-1.314331,0.698485,-3.668758,0.401081,5.339091,0.070590,-0.455061,0.255061,1.500000,0.782219,0.497976,-0.497976,0.000000,0.069625,-0.991696,-0.294430,0.391244
0.100000,0.043163,0.725486,0.522965,-1.273108,0.706303,-3.506239,-0.022086,4.153258,0.078409,-0.450083,0.250083,1.500000,0.781474,0.497502,-0.497502,0.000000,0.069581,-0.756553,-0.083319,0.540880
0.110000,0.050189,0.690147,0.520157,-1.227081,0.699493,-3.525615,-0.464152,4.672524,0.086220,-0.445111,0.245111,1.500000,0.780651,0.496978,-0.496978,0.000000,0.074379,-0.638564,0.006828,0.530832
0.120000,0.057149,0.655959,0.516195,-1.184799,0.693444,-3.487873,-0.350616,5.063958,0.094022,-0.440144,0.240144,1.500000,0.779750,0.496404,-0.496404,0.000000,0.075400,-0.664272,-0.057882,0.472183
0.130000,0.064095,0.623402,0.514424,-1.147133,0.695962,-3.061399,-0.032496,2.621017,0.101814,-0.435183,0.235183,1.500000,0.778771,0.495781,-0.495781,0.000000,0.071988,-0.577026,0.016368,0.649916
0.140000,0.071084,0.591739,0.514133,-1.106070,0.701324,-2.925554,0.043273,2.613535,0.109597,-0.430228,0.230228,1.500000,0.777714,0.495108,-0.495108,0.000000,0.069960,-0.601184,-0.029252,0.622545
0.150000,0.078110,0.561454,0.515298,-1.065062,0.703911,-2.773161,0.265881,2.473368,0.117368,-0.425281,0.225281,1.500000,0.776579,0.494386,-0.494386,0.000000,0.067681,-0.659110,-0.110101,0.589586
0.160000,0.085157,0.532213,0.517648,-1.021408,0.705576,-2.908799,0.251584,4.719940,0.125128,-0.420341,0.220341,1.500000,0.775366,0.493614,-0.493614,0.000000,0.067381,-0.821740,-0.309467,0.358054
0.170000,0.092209,0.504165,0.519789,-0.977551,0.704924,-2.879795,0.128237,5.444823,0.132876,-0.415409,0.215409,1.500000,0.774076,0.492792,-0.492792,0.000000,0.068028,-0.848758,-0.357700,0.281459
0.180000,0.099250,0.477518,0.519511,-0.937734,0.703134,-2.664056,-0.205344,4.226271,0.140609,-0.410485,0.210485,1.500000,0.772709,0.491922,-0.491922,0.000000,0.070173,-0.666908,-0.181057,0.417394
0.190000,0.106269,0.451834,0.515823,-0.901478,0.700562,-2.547601,-0.504037,3.582523,0.148329,-0.405571,0.205571,1.500000,0.771264,0.491002,-0.491002,0.000000,0.072419,-0.513583,-0.041451,0.503688
0.200000,0.113271,0.425688,0.510501,-0.856645,0.699900,-2.599464,-0.512016,4.549301,0.156035,-0.400665,0.200665,1.500000,0.769742,0.490033,-0.490033,0.000000,0.072389,-0.558953,-0.121559,0.401679
0.210000,0.120290,0.400959,0.507572,-0.818198,0.703554,-2.257104,-0.032080,2.153440,0.163724,-0.395770,0.195770,1.500000,0.768144,0.489015,-0.489015,0.000000,0.068560,-0.498572,-0.075366,0.558836
0.220000,0.127355,0.376998,0.506057,-0.777010,0.708675,-2.362782,-0.134402,4.250013,0.171397,-0.390885,0.190885,1.500000,0.766468,0.487949,-0.487949,0.000000,0.067274,-0.643771,-0.249155,0.350806
0.230000,0.134446,0.354282,0.505666,-0.736943,0.709596,-2.333446,-0.086293,5.165116,0.179053,-0.386011,0.186011,1.500000,0.764716,0.486833,-0.486833,0.000000,0.066264,-0.748539,-0.372263,0.235208
0.240000,0.141537,0.332907,0.505092,-0.699876,0.708833,-2.126498,-0.155773,3.965647,0.186691,-0.381149,0.181149,1.500000,0.762887,0.485669,-0.485669,0.000000,0.066631,-0.641158,-0.270353,0.339669
0.250000,0.148611,0.312713,0.502590,-0.668491,0.706050,-1.997713,-0.367940,3.090253,0.194311,-0.376298,0.176298,1.500000,0.760982,0.484456,-0.484456,0.000000,0.068255,-0.495452,-0.133736,0.439349
0.260000,0.155655,0.292297,0.497829,-0.630176,0.702879,-2.029503,-0.500863,3.869314,0.201911,-0.371460,0.171460,1.500000,0.759001,0.483195,-0.483195,0.000000,0.069178,-0.504250,-0.167272,0.369523
0.270000,0.162681,0.271811,0.493072,-0.585110,0.702357,-2.022817,-0.407804,4.538625,0.209490,-0.366634,0.166634,1.500000,0.756944,0.481885,-0.481885,0.000000,0.068205,-0.582459,-0.270516,0.276715
0.280000,0.169714,0.252556,0.490052,-0.545535,0.704167,-1.886456,-0.266382,3.931034,0.217049,-0.361822,0.161822,1.500000,0.754811,0.480528,-0.480528,0.000000,0.066738,-0.576182,-0.277708,0.300611
0.290000,0.176760,0.234680,0.487606,-0.512847,0.704893,-1.752844,-0.278978,3.238247,0.224586,-0.357024,0.157024,1.500000,0.752603,0.479122,-0.479122,0.000000,0.066375,-0.516040,-0.225549,0.354738
0.300000,0.183800,0.217362,0.484084,-0.478316,0.703226,-1.706022,-0.383348,3.459291,0.232101,-0.352240,0.152240,1.500000,0.750320,0.477668,-0.477668,0.000000,0.066755,-0.506135,-0.228579,0.331532
0.310000,0.190821,0.200376,0.479882,-0.439901,0.701090,-1.673396,-0.409643,3.855162,0.239592,-0.347471,0.147471,1.500000,0.747961,0.476167,-0.476167,0.000000,0.066768,-0.535354,-0.273690,0.280134
0.320000,0.197825,0.184161,0.476174,-0.403476,0.699945,-1.593552,-0.359340,3.634272,0.247060,-0.342717,0.142717,1.500000,0.745528,0.474618,-0.474618,0.000000,0.066377,-0.531264,-0.282847,0.280470
0.330000,0.204820,0.168836,0.472852,-0.371037,0.699057,-1.506496,-0.347477,3.228609,0.254503,-0.337978,0.137978,1.500000,0.743020,0.473021,-0.473021,0.000000,0.066166,-0.496829,-0.259329,0.305828
0.340000,0.211803,0.154085,0.469094,-0.338658,0.697567,-1.452292,-0.392200,3.235514,0.261920,-0.333256,0.133256,1.500000,0.740438,0.471377,-0.471377,0.000000,0.066174,-0.484091,-0.258424,0.297617
0.350000,0.218769,0.139776,0.464915,-0.304546,0.695844,-1.407732,-0.415466,3.414698,0.269311,-0.328551,0.128551,1.500000,0.737782,0.469686,-0.469686,0.000000,0.066048,-0.496200,-0.283064,0.268526
0.360000,0.225720,0.126077,0.460914,-0.271242,0.694384,-1.345453,-0.395290,3.326678,0.276676,-0.323863,0.123863,1.500000,0.735052,0.467948,-0.467948,0.000000,0.065772,-0.496345,-0.294450,0.260741
0.370000,0.232656,0.113058,0.457147,-0.240227,0.692927,-1.278677,-0.385372,3.093273,0.284012,-0.319192,0.119192,1.500000,0.732248,0.466164,-0.466164,0.000000,0.065592,-0.477959,-0.286070,0.270014
0.380000,0.239575,0.100590,0.453180,-0.209869,0.691129,-1.225864,-0.408797,3.031359,0.291320,-0.314540,0.114540,1.500000,0.729371,0.464332,-0.464332,0.000000,0.065528,-0.465904,-0.284091,0.266768
0.390000,0.246476,0.088584,0.448917,-0.178955,0.689166,-1.180111,-0.429455,3.090372,0.298599,-0.309906,0.109906,1.500000,0.726422,0.462455,-0.462455,0.000000,0.065412,-0.467641,-0.296122,0.250649
0.400000,0.253358,0.077084,0.444659,-0.148455,0.687296,-1.129135,-0.425512,3.046991,0.305848,-0.305291,0.105291,1.500000,0.723400,0.460530,-0.460530,0.000000,0.065211,-0.466935,-0.305152,0.241844
0.410000,0.260221,0.066121,0.440516,-0.119286,0.685431,-1.076088,-0.419669,2.911513,0.313067,-0.300695,0.100695,1.500000,0.720305,0.458560,-0.458560,0.000000,0.065032,-0.456833,-0.304069,0.242818
