t,q1,q2,q3,q4,x,y,z,q3_out,x_des,y_des,z_des,q3_des,tau1,tau2,tau3,tau4
0.000000,0.000397,0.909680,0.604501,-1.611235,0.260191,0.000099,0.024557,0.604501,0.260191,0.000099,0.024557,0.604501,-0.000268,-0.516113,-0.081331,-0.064248
0.010000,0.000395,0.909680,0.604502,-1.611250,0.260191,0.000098,0.024559,0.604502,0.260191,0.000099,0.024557,0.604502,0.000047,-0.514561,-0.079983,-0.063218
0.020000,0.000396,0.909601,0.604521,-1.611351,0.260191,0.000098,0.024588,0.604521,0.260190,0.000099,0.024557,0.604505,0.000262,-0.511674,-0.077984,-0.062212
0.030000,0.000395,0.909516,0.604510,-1.611434,0.260196,0.000098,0.024621,0.604510,0.260189,0.000100,0.024559,0.604514,0.000394,-0.511814,-0.078071,-0.062806
0.040000,0.000397,0.909424,0.604517,-1.611451,0.260200,0.000099,0.024645,0.604517,0.260186,0.000101,0.024562,0.604532,0.000491,-0.512719,-0.079128,-0.063908
0.050000,0.000403,0.909348,0.604544,-1.611508,0.260200,0.000100,0.024668,0.604544,0.260182,0.000103,0.024568,0.604561,0.000577,-0.513057,-0.079329,-0.064172
0.060000,0.000414,0.909293,0.604571,-1.611655,0.260198,0.000103,0.024696,0.604571,0.260175,0.000106,0.024576,0.604603,0.000662,-0.513041,-0.078684,-0.063826
0.070000,0.000430,0.909248,0.604592,-1.611831,0.260196,0.000107,0.024727,0.604592,0.260166,0.000111,0.024587,0.604662,0.000749,-0.513270,-0.078382,-0.063922
0.080000,0.000430,0.909248,0.604592,-1.611831,0.260196,0.000107,0.024727,0.604592,0.260155,0.000117,0.024602,0.604740,0.000948,-0.513671,-0.078267,-0.064221
0.090000,0.000452,0.909197,0.604621,-1.611979,0.260193,0.000112,0.024754,0.604621,0.260140,0.000124,0.024621,0.604838,0.001049,-0.514131,-0.078572,-0.064878
0.100000,0.000480,0.909140,0.604671,-1.612131,0.260189,0.000119,0.024780,0.604671,0.260121,0.000133,0.024644,0.604959,0.001154,-0.514350,-0.078699,-0.065336
0.110000,0.000516,0.909080,0.604738,-1.612353,0.260182,0.000128,0.024814,0.604738,0.260099,0.000144,0.024672,0.605106,0.001217,-0.514042,-0.078210,-0.065231
0.120000,0.000562,0.909012,0.604817,-1.612621,0.260173,0.000140,0.024854,0.604817,0.260072,0.000158,0.024705,0.605281,0.001285,-0.513947,-0.077787,-0.065285
0.130000,0.000617,0.908932,0.604912,-1.612890,0.260163,0.000153,0.024896,0.604912,0.260041,0.000173,0.024744,0.605484,0.001366,-0.514205,-0.077818,-0.065760
0.140000,0.000681,0.908841,0.605029,-1.613166,0.260152,0.000169,0.024937,0.605029,0.260005,0.000191,0.024789,0.605720,0.001460,-0.514472,-0.077881,-0.066232
0.150000,0.000753,0.908745,0.605165,-1.613479,0.260137,0.000187,0.024982,0.605165,0.259965,0.000211,0.024840,0.605988,0.001562,-0.514581,-0.077597,-0.066401
0.160000,0.000834,0.908643,0.605315,-1.613836,0.260122,0.000207,0.025032,0.605315,0.259918,0.000234,0.024898,0.606291,0.001670,-0.514693,-0.077191,-0.066507
0.170000,0.000924,0.908532,0.605480,-1.614210,0.260104,0.000229,0.025085,0.605480,0.259867,0.000260,0.024963,0.606631,0.001781,-0.514930,-0.076999,-0.066836
0.180000,0.001023,0.908408,0.605667,-1.614595,0.260085,0.000254,0.025139,0.605667,0.259809,0.000288,0.025035,0.607009,0.001896,-0.515187,-0.076930,-0.067271
0.190000,0.001131,0.908271,0.605878,-1.615007,0.260063,0.000280,0.025197,0.605878,0.259745,0.000320,0.025115,0.607427,0.002013,-0.515344,-0.076701,-0.067565
0.200000,0.001248,0.908122,0.606110,-1.615458,0.260039,0.000310,0.025260,0.606110,0.259676,0.000355,0.025202,0.607887,0.002133,-0.515460,-0.076318,-0.067745
0.210000,0.001375,0.907960,0.606361,-1.615937,0.260013,0.000341,0.025327,0.606361,0.259599,0.000393,0.025298,0.608389,0.002254,-0.515646,-0.076000,-0.068012
0.220000,0.001512,0.907782,0.606637,-1.616434,0.259986,0.000375,0.025396,0.606637,0.259516,0.000434,0.025402,0.608935,0.002377,-0.515885,-0.075801,-0.068393
0.230000,0.001660,0.907588,0.606940,-1.616954,0.259955,0.000412,0.025470,0.606940,0.259426,0.000479,0.025515,0.609527,0.002502,-0.516088,-0.075564,-0.068740
0.240000,0.001817,0.907377,0.607269,-1.617508,0.259922,0.000451,0.025548,0.607269,0.259329,0.000527,0.025637,0.610164,0.002628,-0.516243,-0.075206,-0.068994
0.250000,0.001986,0.907150,0.607623,-1.618095,0.259887,0.000492,0.025631,0.607623,0.259225,0.000579,0.025768,0.610850,0.002756,-0.516416,-0.074831,-0.069254
0.260000,0.001986,0.907150,0.607623,-1.618095,0.259887,0.000492,0.025631,0.607623,0.259113,0.000634,0.025908,0.611584,0.003151,-0.517857,-0.074376,-0.069480
0.270000,0.002165,0.906904,0.608004,-1.618705,0.259849,0.000537,0.025718,0.608004,0.258994,0.000693,0.026057,0.612368,0.003290,-0.518135,-0.074051,-0.069808
0.280000,0.002356,0.906638,0.608414,-1.619340,0.259809,0.000584,0.025809,0.608414,0.258867,0.000756,0.026216,0.613202,0.003431,-0.518409,-0.073741,-0.070153
0.290000,0.002559,0.906338,0.608865,-1.619983,0.259766,0.000634,0.025905,0.608865,0.258732,0.000823,0.026385,0.614088,0.003516,-0.518269,-0.073535,-0.070659
0.300000,0.002778,0.905999,0.609364,-1.620679,0.259718,0.000688,0.026010,0.609364,0.258589,0.000894,0.026564,0.615026,0.003578,-0.517806,-0.073107,-0.070890
0.310000,0.003014,0.905627,0.609907,-1.621429,0.259667,0.000746,0.026124,0.609907,0.258438,0.000969,0.026753,0.616017,0.003657,-0.517591,-0.072549,-0.071048
0.320000,0.003264,0.905227,0.610484,-1.622212,0.259612,0.000808,0.026245,0.610484,0.258279,0.001048,0.026953,0.617062,0.003759,-0.517747,-0.072141,-0.071355
0.330000,0.003527,0.904805,0.611094,-1.623016,0.259555,0.000873,0.026370,0.611094,0.258112,0.001131,0.027162,0.618161,0.003878,-0.518068,-0.071884,-0.071787
0.340000,0.003804,0.904361,0.611739,-1.623847,0.259495,0.000941,0.026498,0.611739,0.257936,0.001219,0.027382,0.619314,0.004006,-0.518333,-0.071565,-0.072161
0.350000,0.004094,0.903897,0.612418,-1.624716,0.259431,0.001013,0.026633,0.612418,0.257752,0.001310,0.027613,0.620523,0.004139,-0.518505,-0.071100,-0.072425
0.360000,0.004396,0.903408,0.613130,-1.625619,0.259364,0.001087,0.026773,0.613130,0.257560,0.001406,0.027854,0.621788,0.004276,-0.518664,-0.070617,-0.072699
0.370000,0.004711,0.902894,0.613876,-1.626548,0.259295,0.001165,0.026918,0.613876,0.257359,0.001505,0.028106,0.623108,0.004415,-0.518843,-0.070212,-0.073055
0.380000,0.005039,0.902351,0.614659,-1.627502,0.259222,0.001246,0.027068,0.614659,0.257150,0.001609,0.028369,0.624485,0.004554,-0.519005,-0.069818,-0.073420
0.390000,0.005380,0.901782,0.615480,-1.628488,0.259146,0.001330,0.027224,0.615480,0.256931,0.001718,0.028642,0.625918,0.004694,-0.519126,-0.069351,-0.073723
0.400000,0.005735,0.901184,0.616337,-1.629509,0.259066,0.001417,0.027387,0.616337,0.256705,0.001831,0.028926,0.627409,0.004834,-0.519241,-0.068847,-0.074003
0.410000,0.006102,0.900558,0.617232,-1.630559,0.258983,0.001507,0.027555,0.617232,0.256469,0.001948,0.029221,0.628956,0.004975,-0.519380,-0.068379,-0.074324
0.420000,0.006483,0.899902,0.618165,-1.631637,0.258897,0.001601,0.027729,0.618165,0.256225,0.002069,0.029527,0.630560,0.005116,-0.519522,-0.067940,-0.074673
0.430000,0.006877,0.899217,0.619138,-1.632744,0.258807,0.001697,0.027909,0.619138,0.255972,0.002194,0.029844,0.632221,0.005257,-0.519639,-0.067468,-0.074994
0.440000,0.007284,0.898501,0.620149,-1.633883,0.258714,0.001797,0.028095,0.620149,0.255711,0.002324,0.030172,0.633940,0.005398,-0.519736,-0.066955,-0.075285
0.450000,0.007705,0.897756,0.621200,-1.635054,0.258618,0.001900,0.028287,0.621200,0.255440,0.002459,0.030511,0.635715,0.005539,-0.519838,-0.066447,-0.075587
0.460000,0.008140,0.896978,0.622291,-1.636253,0.258518,0.002007,0.028485,0.622291,0.255162,0.002597,0.030860,0.637548,0.005680,-0.519943,-0.065963,-0.075912
0.470000,0.008589,0.896169,0.623422,-1.637480,0.258414,0.002116,0.028689,0.623422,0.254874,0.002740,0.031221,0.639437,0.005820,-0.520032,-0.065471,-0.076232
0.480000,0.009051,0.895328,0.624594,-1.638738,0.258307,0.002229,0.028900,0.624594,0.254578,0.002887,0.031592,0.641382,0.005961,-0.520102,-0.064950,-0.076527
0.490000,0.009527,0.894455,0.625807,-1.640027,0.258196,0.002345,0.029117,0.625807,0.254273,0.003038,0.031974,0.643384,0.006101,-0.520165,-0.064419,-0.076818
0.500000,0.010016,0.893549,0.627061,-1.641344,0.258081,0.002465,0.029340,0.627061,0.253960,0.003194,0.032366,0.645442,0.006240,-0.520227,-0.063900,-0.077122
0.510000,0.010520,0.892609,0.628356,-1.642690,0.257963,0.002588,0.029569,0.628356,0.253638,0.003354,0.032769,0.647555,0.006379,-0.520280,-0.063385,-0.077428
0.520000,0.011038,0.891636,0.629693,-1.644064,0.257841,0.002714,0.029805,0.629693,0.253308,0.003518,0.033183,0.649724,0.006518,-0.520315,-0.062854,-0.077720
0.530000,0.011038,0.891636,0.629693,-1.644064,0.257841,0.002714,0.029805,0.629693,0.252970,0.003686,0.033607,0.651947,0.007119,-0.523375,-0.061875,-0.077569
0.540000,0.011569,0.890629,0.631072,-1.645469,0.257715,0.002843,0.030047,0.631072,0.252623,0.003858,0.034042,0.654225,0.007261,-0.523450,-0.061315,-0.077833
0.550000,0.012114,0.889588,0.632492,-1.646901,0.257586,0.002975,0.030296,0.632492,0.252269,0.004034,0.034486,0.656556,0.007403,-0.523519,-0.060759,-0.078100
0.560000,0.012677,0.888476,0.633983,-1.648294,0.257452,0.003112,0.030548,0.633983,0.251906,0.004215,0.034941,0.658941,0.007444,-0.522689,-0.060731,-0.079000
0.570000,0.013260,0.887284,0.635556,-1.649728,0.257312,0.003253,0.030813,0.635556,0.251535,0.004399,0.035406,0.661378,0.007464,-0.521488,-0.060256,-0.079319
0.580000,0.013863,0.886039,0.637187,-1.651256,0.257167,0.003399,0.031096,0.637187,0.251156,0.004587,0.035881,0.663868,0.007515,-0.520617,-0.059125,-0.079049
0.590000,0.014484,0.884757,0.638853,-1.652838,0.257017,0.003549,0.031390,0.638853,0.250769,0.004779,0.036366,0.666408,0.007598,-0.520468,-0.058308,-0.079093
0.600000,0.015121,0.883441,0.640561,-1.654411,0.256865,0.003703,0.031686,0.640561,0.250375,0.004975,0.036860,0.668999,0.007702,-0.520769,-0.058194,-0.079739
0.610000,0.015772,0.882092,0.642319,-1.655988,0.256708,0.003860,0.031983,0.642319,0.249973,0.005175,0.037364,0.671640,0.007819,-0.520930,-0.058061,-0.080310
0.620000,0.016438,0.880717,0.644119,-1.657617,0.256546,0.004020,0.032288,0.644119,0.249564,0.005378,0.037877,0.674330,0.007941,-0.520762,-0.057362,-0.080377
0.630000,0.017117,0.879313,0.645952,-1.659299,0.256381,0.004183,0.032602,0.645952,0.249147,0.005585,0.038399,0.677069,0.008065,-0.520558,-0.056504,-0.080357
0.640000,0.017810,0.877876,0.647820,-1.660994,0.256212,0.004350,0.032921,0.647820,0.248723,0.005796,0.038931,0.679854,0.008189,-0.520515,-0.056021,-0.080694
0.650000,0.018516,0.876400,0.649733,-1.662690,0.256040,0.004519,0.033244,0.649733,0.248292,0.006010,0.039471,0.682686,0.008311,-0.520473,-0.055740,-0.081175
0.660000,0.019235,0.874888,0.651691,-1.664415,0.255863,0.004691,0.033573,0.651691,0.247854,0.006227,0.040020,0.685564,0.008433,-0.520263,-0.055212,-0.081400
0.670000,0.019967,0.873344,0.653686,-1.666185,0.255683,0.004866,0.033910,0.653686,0.247409,0.006448,0.040577,0.688486,0.008553,-0.519987,-0.054465,-0.081441
0.680000,0.020713,0.871767,0.655717,-1.667980,0.255498,0.005044,0.034254,0.655717,0.246958,0.006672,0.041143,0.691452,0.008672,-0.519810,-0.053866,-0.081629
0.690000,0.021472,0.870153,0.657789,-1.669784,0.255311,0.005225,0.034603,0.657789,0.246500,0.006900,0.041717,0.694461,0.008789,-0.519693,-0.053479,-0.081991
0.700000,0.022243,0.868504,0.659903,-1.671606,0.255119,0.005409,0.034956,0.659903,0.246036,0.007131,0.042299,0.697511,0.008904,-0.519495,-0.053030,-0.082268
0.710000,0.023027,0.866821,0.662055,-1.673461,0.254923,0.005595,0.035317,0.662055,0.245565,0.007364,0.042888,0.700601,0.009017,-0.519208,-0.052402,-0.082378
0.720000,0.023824,0.865105,0.664244,-1.675345,0.254723,0.005784,0.035685,0.664244,0.245089,0.007601,0.043485,0.703731,0.009129,-0.518941,-0.051781,-0.082503
0.730000,0.024634,0.863353,0.666469,-1.677244,0.254520,0.005975,0.036058,0.666469,0.244607,0.007840,0.044090,0.706899,0.009239,-0.518724,-0.051308,-0.082754
0.740000,0.025455,0.861567,0.668735,-1.679157,0.254313,0.006170,0.036435,0.668735,0.244119,0.008083,0.044701,0.710104,0.009346,-0.518480,-0.050869,-0.083013
0.750000,0.026290,0.859746,0.671038,-1.681093,0.254102,0.006366,0.036819,0.671038,0.243626,0.008328,0.045319,0.713346,0.009452,-0.518165,-0.050327,-0.083163
0.760000,0.027136,0.857893,0.673376,-1.683056,0.253887,0.006565,0.037210,0.673376,0.243127,0.008575,0.045944,0.716622,0.009555,-0.517830,-0.049738,-0.083269
0.770000,0.027994,0.856005,0.675750,-1.685037,0.253668,0.006767,0.037606,0.675750,0.242624,0.008826,0.046575,0.719931,0.009657,-0.517521,-0.049226,-0.083440
0.780000,0.028864,0.854084,0.678160,-1.687030,0.253446,0.006971,0.038007,0.678160,0.242115,0.009078,0.047213,0.723273,0.009756,-0.517210,-0.048776,-0.083651
0.790000,0.029746,0.852128,0.680605,-1.689042,0.253220,0.007177,0.038413,0.680605,0.241602,0.009333,0.047856,0.726646,0.009853,-0.516851,-0.048288,-0.083808
0.800000,0.030639,0.850140,0.683085,-1.691075,0.252991,0.007386,0.038825,0.683085,0.241084,0.009591,0.048505,0.730048,0.009947,-0.516458,-0.047749,-0.083910
0.810000,0.031544,0.848120,0.685598,-1.693126,0.252758,0.007597,0.039243,0.685598,0.240562,0.009850,0.049160,0.733480,0.010039,-0.516067,-0.047236,-0.084029
0.820000,0.032459,0.846066,0.688144,-1.695190,0.252521,0.007810,0.039666,0.688144,0.240035,0.010111,0.049820,0.736938,0.010129,-0.515678,-0.046778,-0.084185
0.830000,0.033386,0.843980,0.690724,-1.697267,0.252281,0.008025,0.040094,0.690724,0.239505,0.010375,0.050484,0.740422,0.010216,-0.515262,-0.046324,-0.084325
0.840000,0.034323,0.841862,0.693335,-1.699362,0.252037,0.008242,0.040527,0.693335,0.238971,0.010640,0.051153,0.743931,0.010301,-0.514810,-0.045835,-0.084420
0.850000,0.035271,0.839509,0.696051,-1.700054,0.251819,0.008462,0.040828,0.696051,0.238434,0.010907,0.051827,0.747462,0.010349,-0.523594,-0.057526,-0.098882
0.860000,0.036228,0.837004,0.698774,-1.700006,0.251619,0.008685,0.041073,0.698774,0.237893,0.011176,0.052505,0.751016,0.010426,-0.521983,-0.055276,-0.097890
0.870000,0.037196,0.834448,0.701305,-1.700000,0.251440,0.008910,0.041359,0.701305,0.237349,0.011446,0.053187,0.754590,0.010503,-0.518779,-0.047436,-0.093849
0.880000,0.038172,0.831830,0.703614,-1.700114,0.251282,0.009138,0.041703,0.703614,0.236802,0.011718,0.053872,0.758182,0.010579,-0.517664,-0.044325,-0.093332
0.890000,0.039157,0.829080,0.705939,-1.700012,0.251130,0.009369,0.042050,0.705939,0.236253,0.011991,0.054561,0.761793,0.010662,-0.514691,-0.043006,-0.092252
0.900000,0.040151,0.826235,0.708395,-1.700001,0.250965,0.009600,0.042413,0.708395,0.235701,0.012265,0.055253,0.765419,0.010736,-0.512972,-0.044299,-0.093406
0.910000,0.041153,0.823311,0.710990,-1.700000,0.250787,0.009832,0.042778,0.710990,0.235147,0.012540,0.055947,0.769060,0.010802,-0.512380,-0.045824,-0.094738
0.920000,0.042164,0.820356,0.713658,-1.700021,0.250600,0.010066,0.043142,0.713658,0.234590,0.012816,0.056644,0.772715,0.010860,-0.512693,-0.046498,-0.095693
0.930000,0.043183,0.817390,0.716329,-1.700002,0.250414,0.010302,0.043504,0.716329,0.234033,0.013093,0.057343,0.776381,0.010916,-0.512692,-0.045641,-0.095401
0.940000,0.044210,0.814419,0.718977,-1.700000,0.250228,0.010539,0.043871,0.718977,0.233473,0.013371,0.058045,0.780057,0.010969,-0.512584,-0.044811,-0.095237
0.950000,0.045245,0.811433,0.721626,-1.700044,0.250040,0.010778,0.044247,0.721626,0.232912,0.013650,0.058748,0.783743,0.011019,-0.512683,-0.045275,-0.096183
0.960000,0.046288,0.808399,0.724311,-1.700005,0.249851,0.011017,0.044619,0.724311,0.232350,0.013929,0.059452,0.787435,0.011069,-0.511590,-0.044834,-0.095974
0.970000,0.047338,0.805330,0.727025,-1.700000,0.249657,0.011259,0.044999,0.727025,0.231787,0.014209,0.060158,0.791134,0.011114,-0.510754,-0.044528,-0.096093
0.980000,0.048394,0.802238,0.729759,-1.700088,0.249459,0.011501,0.045392,0.729759,0.231224,0.014489,0.060864,0.794837,0.011151,-0.511171,-0.045851,-0.097836
0.990000,0.049458,0.799093,0.732530,-1.700009,0.249261,0.011744,0.045772,0.732530,0.230660,0.014769,0.061571,0.798543,0.011192,-0.509767,-0.044719,-0.096874
1.000000,0.050528,0.795931,0.735300,-1.700001,0.249061,0.011988,0.046164,0.735300,0.230095,0.015049,0.062278,0.802251,0.011227,-0.508944,-0.043891,-0.096585
1.010000,0.051604,0.792743,0.738078,-1.700000,0.248859,0.012234,0.046562,0.738078,0.229531,0.015330,0.062986,0.805958,0.011258,-0.508404,-0.043936,-0.096855
1.020000,0.052685,0.789531,0.740892,-1.700019,0.248652,0.012480,0.046962,0.740892,0.228967,0.015610,0.063692,0.809664,0.011286,-0.508049,-0.044661,-0.097674
1.030000,0.053772,0.786287,0.743740,-1.700002,0.248442,0.012726,0.047360,0.743740,0.228404,0.015890,0.064399,0.813367,0.011310,-0.507248,-0.044691,-0.097806
1.040000,0.054864,0.783024,0.746603,-1.700000,0.248229,0.012974,0.047763,0.746603,0.227841,0.016169,0.065104,0.817066,0.011331,-0.506579,-0.044486,-0.097885
1.050000,0.055961,0.779749,0.749470,-1.700048,0.248013,0.013221,0.048172,0.749470,0.227279,0.016449,0.065809,0.820759,0.011346,-0.506505,-0.045068,-0.098779
1.060000,0.057063,0.776441,0.752349,-1.700005,0.247798,0.013470,0.048576,0.752349,0.226718,0.016727,0.066512,0.824444,0.011362,-0.505355,-0.044444,-0.098274
1.070000,0.058168,0.773118,0.755230,-1.700000,0.247580,0.013719,0.048987,0.755230,0.226158,0.017005,0.067213,0.828121,0.011372,-0.504449,-0.044094,-0.098197
1.080000,0.059278,0.769790,0.758115,-1.700118,0.247358,0.013968,0.049413,0.758115,0.225600,0.017282,0.067912,0.831787,0.011376,-0.505019,-0.046019,-0.100362
1.090000,0.060390,0.766410,0.761036,-1.700013,0.247137,0.014217,0.049819,0.761036,0.225044,0.017559,0.068610,0.835441,0.011382,-0.503041,-0.044749,-0.098978
1.100000,0.061506,0.763024,0.763944,-1.700001,0.246914,0.014467,0.050238,0.763944,0.224490,0.017834,0.069304,0.839082,0.011382,-0.501866,-0.043828,-0.098454
1.110000,0.062624,0.759621,0.766847,-1.700000,0.246691,0.014717,0.050662,0.766847,0.223938,0.018108,0.069996,0.842709,0.011379,-0.501112,-0.044009,-0.098650
1.120000,0.063745,0.756209,0.769778,-1.700031,0.246462,0.014966,0.051088,0.769778,0.223389,0.018381,0.070685,0.846319,0.011370,-0.500694,-0.045171,-0.099680
1.130000,0.064868,0.752774,0.772739,-1.700003,0.246231,0.015215,0.051507,0.772739,0.222842,0.018653,0.071370,0.849912,0.011360,-0.499569,-0.045260,-0.099625
1.140000,0.065992,0.749333,0.775702,-1.700000,0.245997,0.015464,0.051930,0.775702,0.222298,0.018923,0.072052,0.853486,0.011344,-0.498677,-0.045081,-0.099563
1.150000,0.067118,0.745899,0.778653,-1.700079,0.245761,0.015713,0.052362,0.778653,0.221757,0.019192,0.072729,0.857039,0.011322,-0.498770,-0.046234,-0.100877
1.160000,0.068245,0.742438,0.781609,-1.700008,0.245527,0.015962,0.052780,0.781609,0.221220,0.019459,0.073403,0.860571,0.011303,-0.497114,-0.045370,-0.099887
1.170000,0.069372,0.738976,0.784550,-1.700001,0.245292,0.016210,0.053207,0.784550,0.220686,0.019724,0.074072,0.864079,0.011278,-0.495897,-0.044895,-0.099567
1.180000,0.070499,0.735505,0.787487,-1.700000,0.245055,0.016457,0.053636,0.787487,0.220155,0.019987,0.074737,0.867564,0.011249,-0.494906,-0.045208,-0.099766
1.190000,0.071626,0.732030,0.790442,-1.700021,0.244815,0.016704,0.054066,0.790442,0.219629,0.020249,0.075397,0.871022,0.011215,-0.494141,-0.046127,-0.100490
1.200000,0.072752,0.728545,0.793410,-1.700002,0.244573,0.016950,0.054491,0.793410,0.219107,0.020508,0.076051,0.874453,0.011178,-0.492952,-0.046309,-0.100474
1.210000,0.073877,0.725063,0.796372,-1.700000,0.244330,0.017195,0.054917,0.796372,0.218589,0.020765,0.076700,0.877856,0.011137,-0.491942,-0.046310,-0.100443
1.220000,0.075001,0.721594,0.799319,-1.700065,0.244085,0.017439,0.055349,0.799319,0.218076,0.021020,0.077344,0.881228,0.011090,-0.491711,-0.047380,-0.101527
1.230000,0.076124,0.718112,0.802261,-1.700007,0.243842,0.017683,0.055769,0.802261,0.217567,0.021273,0.077981,0.884570,0.011045,-0.490041,-0.046790,-0.100717
1.240000,0.077244,0.714638,0.805183,-1.700001,0.243598,0.017925,0.056195,0.805183,0.217064,0.021523,0.078613,0.887880,0.010994,-0.488734,-0.046511,-0.100448
1.250000,0.078361,0.711167,0.808094,-1.700000,0.243353,0.018166,0.056622,0.808094,0.216565,0.021771,0.079237,0.891156,0.010939,-0.487602,-0.046877,-0.100610
1.260000,0.079476,0.707702,0.811011,-1.700021,0.243106,0.018406,0.057048,0.811011,0.216072,0.022016,0.079856,0.894397,0.010880,-0.486693,-0.047806,-0.101278
1.270000,0.080587,0.704239,0.813930,-1.700002,0.242858,0.018645,0.057467,0.813930,0.215584,0.022258,0.080467,0.897602,0.010819,-0.485348,-0.048024,-0.101216
1.280000,0.081694,0.700788,0.816835,-1.700000,0.242610,0.018882,0.057887,0.816835,0.215102,0.022498,0.081071,0.900770,0.010753,-0.484188,-0.048117,-0.101177
1.290000,0.082798,0.697363,0.819718,-1.700067,0.242360,0.019117,0.058311,0.819718,0.214625,0.022734,0.081669,0.903900,0.010680,-0.483826,-0.049314,-0.102290
1.300000,0.083897,0.693933,0.822590,-1.700007,0.242113,0.019351,0.058721,0.822590,0.214155,0.022968,0.082258,0.906991,0.010611,-0.482006,-0.048809,-0.101469
1.310000,0.084991,0.690524,0.825434,-1.700001,0.241866,0.019584,0.059135,0.825434,0.213691,0.023199,0.082840,0.910041,0.010535,-0.480576,-0.048597,-0.101187
1.320000,0.086080,0.687128,0.828258,-1.700000,0.241620,0.019815,0.059549,0.828258,0.213233,0.023426,0.083414,0.913049,0.010456,-0.479325,-0.049033,-0.101344
1.330000,0.087163,0.683751,0.831079,-1.700022,0.241371,0.020043,0.059961,0.831079,0.212782,0.023650,0.083979,0.916015,0.010373,-0.478292,-0.050043,-0.102024
1.340000,0.088240,0.680387,0.833895,-1.700002,0.241122,0.020270,0.060364,0.833895,0.212337,0.023871,0.084537,0.918937,0.010287,-0.476816,-0.050337,-0.101967
1.350000,0.089311,0.677048,0.836689,-1.700000,0.240874,0.020495,0.060766,0.836689,0.211899,0.024089,0.085086,0.921815,0.010198,-0.475541,-0.050506,-0.101939
1.360000,0.090375,0.673745,0.839454,-1.700068,0.240625,0.020718,0.061171,0.839454,0.211468,0.024303,0.085626,0.924647,0.010103,-0.475087,-0.051793,-0.103084
1.370000,0.091432,0.670450,0.842199,-1.700007,0.240380,0.020940,0.061560,0.842199,0.211044,0.024514,0.086157,0.927433,0.010010,-0.473145,-0.051344,-0.102262
1.380000,0.092482,0.667187,0.844909,-1.700001,0.240135,0.021159,0.061952,0.844909,0.210627,0.024721,0.086680,0.930171,0.009912,-0.471609,-0.051187,-0.101985
1.390000,0.093523,0.663949,0.847591,-1.700000,0.239891,0.021375,0.062342,0.847591,0.210218,0.024924,0.087193,0.932861,0.009811,-0.470254,-0.051687,-0.102163
1.400000,0.094557,0.660743,0.850262,-1.700028,0.239647,0.021590,0.062729,0.850262,0.209816,0.025124,0.087697,0.935502,0.009705,-0.469182,-0.052851,-0.102968
1.410000,0.095582,0.657560,0.852922,-1.700003,0.239403,0.021802,0.063104,0.852922,0.209422,0.025320,0.088191,0.938093,0.009599,-0.467546,-0.053132,-0.102857
1.420000,0.096598,0.654414,0.855551,-1.700000,0.239161,0.022012,0.063477,0.855551,0.209035,0.025512,0.088676,0.940634,0.009489,-0.466171,-0.053308,-0.102818
1.430000,0.097604,0.651322,0.858140,-1.700110,0.238918,0.022219,0.063856,0.858140,0.208656,0.025700,0.089150,0.943123,0.009371,-0.466105,-0.055254,-0.104647
1.440000,0.098602,0.648238,0.860709,-1.700012,0.238681,0.022424,0.064209,0.860709,0.208285,0.025884,0.089615,0.945560,0.009260,-0.463674,-0.054358,-0.103300
1.450000,0.099589,0.645201,0.863226,-1.700001,0.238446,0.022626,0.064569,0.863226,0.207922,0.026064,0.090070,0.947945,0.009144,-0.461954,-0.053889,-0.102792
1.460000,0.100566,0.642200,0.865704,-1.700000,0.238213,0.022826,0.064926,0.865704,0.207567,0.026241,0.090515,0.950277,0.009024,-0.460541,-0.054472,-0.103022
1.470000,0.101533,0.639245,0.868171,-1.700045,0.237978,0.023023,0.065278,0.868171,0.207221,0.026413,0.090949,0.952554,0.008900,-0.459572,-0.056135,-0.104275
1.480000,0.102489,0.636318,0.870631,-1.700005,0.237746,0.023218,0.065614,0.870631,0.206882,0.026581,0.091374,0.954778,0.008776,-0.457699,-0.056383,-0.104067
1.490000,0.103433,0.633442,0.873052,-1.700000,0.237515,0.023409,0.065948,0.873052,0.206552,0.026745,0.091787,0.956946,0.008649,-0.456276,-0.056451,-0.103964
1.500000,0.104367,0.630644,0.875417,-1.700178,0.237283,0.023598,0.066292,0.875417,0.206231,0.026905,0.092190,0.959060,0.008545,-0.448030,-0.047393,-0.092980
1.510000,0.105289,0.627846,0.877762,-1.700019,0.237061,0.023784,0.066597,0.877762,0.205918,0.027060,0.092583,0.961117,0.008389,-0.453885,-0.057681,-0.104647
1.520000,0.106199,0.625140,0.880197,-1.700002,0.236826,0.023966,0.066887,0.880197,0.205613,0.027212,0.092965,0.963119,0.008253,-0.453180,-0.063167,-0.108094
1.530000,0.107097,0.622502,0.882651,-1.700000,0.236587,0.024145,0.067159,0.882651,0.205317,0.027359,0.093336,0.965065,0.008117,-0.451403,-0.062296,-0.107530
1.540000,0.107983,0.619942,0.884929,-1.700100,0.236361,0.024322,0.067449,0.884929,0.205029,0.027502,0.093696,0.966954,0.007977,-0.451584,-0.060752,-0.107020
1.550000,0.108856,0.617418,0.887043,-1.700011,0.236156,0.024498,0.067729,0.887043,0.204750,0.027640,0.094046,0.968786,0.007847,-0.449485,-0.058108,-0.104577
