t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,tau1,tau2,tau3,tau4
0.000000,0.000739,0.909879,0.601282,-1.608244,0.000178,0.000015,-0.000148,-0.007360,0.000000,0.000000,0.000000,0.000000
0.020000,0.000741,0.909877,0.601283,-1.608249,0.000268,-0.000277,0.000227,0.011337,0.000000,0.003140,0.000000,0.000000
0.040000,0.000740,0.909876,0.601283,-1.608259,-0.000844,-0.000187,0.000114,-0.005005,0.000000,0.006267,0.000000,0.000000
0.060000,0.000740,0.909876,0.601283,-1.608250,-0.000004,0.000020,-0.000086,-0.006807,0.000000,0.009369,0.000000,0.000000
0.080000,0.000740,0.909877,0.601283,-1.608165,-0.000724,-0.000160,0.000115,-0.003191,0.000000,0.012434,0.000000,0.000000
0.100000,0.000741,0.909877,0.601282,-1.608203,0.000548,0.000006,-0.000055,-0.003961,0.000000,0.015451,0.000000,0.000000
0.120000,0.000740,0.909877,0.601282,-1.608245,-0.000928,-0.000166,0.000144,-0.004205,0.000000,0.018406,0.000000,0.000000
0.140000,0.000741,0.909878,0.601282,-1.608129,0.001335,0.000204,-0.000122,-0.005130,0.000000,0.021289,0.000000,0.000000
0.160000,0.000739,0.909878,0.601282,-1.608233,-0.001403,-0.000252,0.000196,-0.005266,0.000000,0.024088,0.000000,0.000000
0.180000,0.000742,0.909878,0.601282,-1.608129,0.001368,0.000224,-0.000139,-0.006359,0.000000,0.026791,0.000000,0.000000
0.200000,0.000741,0.909878,0.601281,-1.608190,0.000757,-0.000000,-0.000060,-0.006384,0.000000,0.029389,0.000000,0.000000
0.220000,0.000741,0.909878,0.601281,-1.608094,0.000765,-0.000017,-0.000057,-0.006677,0.000000,0.031871,0.000000,0.000000
0.240000,0.000741,0.909879,0.601281,-1.608163,0.000772,0.000002,-0.000077,-0.007018,0.000000,0.034227,0.000000,0.000000
0.260000,0.000740,0.909878,0.601282,-1.608201,0.000213,-0.000073,-0.000106,-0.010552,0.000000,0.036448,0.000000,0.000000
0.280000,0.000743,0.909879,0.601282,-1.608217,0.002745,0.000485,-0.000143,0.007746,0.000000,0.038526,0.000000,0.000000
0.300000,0.000742,0.909879,0.601282,-1.608236,0.002087,0.000250,-0.000040,0.009424,0.000000,0.040451,0.000000,0.000000
0.320000,0.000741,0.909879,0.601282,-1.608260,-0.000629,-0.000115,0.000069,-0.005606,0.000000,0.042216,0.000000,0.000000
0.340000,0.000739,0.909878,0.601282,-1.608253,0.000412,0.000074,-0.000166,-0.006652,0.000000,0.043815,0.000000,0.000000
0.360000,0.000739,0.909878,0.601282,-1.608253,0.000412,0.000074,-0.000166,-0.006652,0.000000,0.045241,0.000000,0.000000
0.380000,0.000743,0.909879,0.601281,-1.608268,0.001651,0.000319,-0.000188,-0.005706,0.000000,0.046489,0.000000,0.000000
0.400000,0.000743,0.909879,0.601281,-1.608268,0.001651,0.000319,-0.000188,-0.005706,0.000000,0.047553,0.000000,0.000000
0.420000,0.000740,0.909879,0.601282,-1.608249,-0.002184,-0.000441,0.000370,0.011909,0.000000,0.048429,0.000000,0.000000
0.440000,0.000741,0.909879,0.601281,-1.608273,0.000819,0.000010,-0.000022,-0.004766,0.000000,0.049114,0.000000,0.000000
0.460000,0.000741,0.909879,0.601281,-1.608263,0.000928,0.000252,-0.000182,-0.006467,0.000000,0.049606,0.000000,0.000000
0.480000,0.000742,0.909879,0.601281,-1.608128,0.000681,-0.000071,-0.000025,-0.003189,0.000000,0.049901,0.000000,0.000000
0.500000,0.000742,0.909880,0.601281,-1.608161,-0.000802,-0.000208,0.000146,-0.002850,0.000000,0.050000,0.000000,0.000000
